Init 6 193
AddPlayer 289696801 3 170
AddPlayer 601719781 5 68
AddPlayer 709042352 4 7
AddPlayer 1405122014 5 125
AddPlayer 1627587050 3 78
AddPlayer 601719781 6 127
AddPlayer 1627587050 2 65
AddPlayer 262575885 3 122
AddPlayer 262575885 6 29
AddPlayer 1658673140 3 134
AddPlayer 304256216 2 149
AddPlayer 1542239188 0 128
AddPlayer 1102452613 6 179
AddPlayer 41707669 2 53
AddPlayer 1372106154 1 176
AddPlayer 1102452613 3 185
AddPlayer 805063690 3 29
AddPlayer 66116523 3 181
AddPlayer 1799636738 4 122
AddPlayer 1171140991 5 69
AddPlayer 1468800656 3 5
AddPlayer 790587659 4 134
AddPlayer 1404459091 1 39
AddPlayer 41707669 6 17
AddPlayer 199132885 6 73
AddPlayer 507330751 5 78
AddPlayer 1582016055 5 22
AddPlayer 1586274253 3 67
AddPlayer 1909888953 5 131
AddPlayer 159016378 6 40
AddPlayer 126159613 5 38
AddPlayer 68130545 1 189
AddPlayer 120950355 5 18
AddPlayer 909006505 3 93
AddPlayer 1061199794 4 140
AddPlayer 281555738 5 109
AddPlayer 763104929 5 154
AddPlayer 801766502 6 169
AddPlayer 1811818917 6 90
AddPlayer 921041460 1 81
AddPlayer 2125050591 5 64
AddPlayer 862722632 3 150
AddPlayer 1759414480 3 114
AddPlayer 1909888953 2 84
AddPlayer 512613396 6 170
AddPlayer 1861341825 2 -7
AddPlayer 564444245 6 93
AddPlayer 1404459091 6 72
AddPlayer 1690753952 3 107
AddPlayer 190629392 1 112
AddPlayer 109313238 4 32
AddPlayer 758612536 3 82
AddPlayer 2116664589 4 24
AddPlayer 1155188580 2 74
AddPlayer 1622348052 3 75
AddPlayer 1264011126 3 113
AddPlayer 1386262173 5 151
AddPlayer 1102452613 2 43
AddPlayer 621809461 2 128
IncreasePlayerIDLevel 921041460 6
AddPlayer 1654692344 4 165
MergeGroups 4 2
AddPlayer 1907156112 3 166
AddPlayer 152535249 1 73
AddPlayer 55198572 3 12
AddPlayer 1885930593 2 6
AddPlayer 1560278038 4 114
AddPlayer 98611539 5 143
AddPlayer 1003137691 4 74
AddPlayer 1487101266 5 112
AddPlayer 1465778112 1 2
AddPlayer 713245431 2 16
AddPlayer 1881520044 2 49
AddPlayer 879816243 5 1851002901
RemovePlayer 1258612439
AddPlayer 1881520044 4 158
AddPlayer 755713609 2 161
AddPlayer 1603023237 5 20
AddPlayer 1491705756 6 189
AddPlayer 2142103956 4 136
AddPlayer 966589955 5 29
AddPlayer 755713609 1 180
AddPlayer 1952500345 4 130
AddPlayer 935605393 4 34
AddPlayer 1270582602 1 76
AddPlayer 1821789748 2 164
AddPlayer 154458416 2 21
AddPlayer 289696801 3 182
AddPlayer 421913044 2 86
AddPlayer 597084319 1 168
AddPlayer 281555738 6 192
AddPlayer 1933895555 6 48
AddPlayer 1356415486 1023884332 153
AddPlayer 121203446 2 411257558
AddPlayer 1452937350 6 11
AddPlayer 1961393149 1 156
AddPlayer 735848004 5 169
AddPlayer 2101544613 5 89
AddPlayer 2105716912 6 -8
AddPlayer 357063067 -1 186
AddPlayer 500047900 4 33
AddPlayer 4259556 6 84
AddPlayer 1519370239 5 186
AddPlayer 1184821745 6 76
AddPlayer 1833392385 2 138
AddPlayer 547864870 4 -1
AddPlayer 110875348 5 140
AddPlayer 1918364995 1 136
AddPlayer 946657640 1 57
AddPlayer 190629392 2 92
AddPlayer 160086842 6 47
AddPlayer 365899143 3 140
AddPlayer 1280912959 5 47
AddPlayer 2130292215 3 90
AddPlayer 303014891 3 49
MergeGroups 2 4
IncreasePlayerIDLevel 1102452613 1
AddPlayer 796160046 1 178
AddPlayer 951294637 6 137
AddPlayer 1601896707 1 44
AddPlayer 406071200 2 135
AddPlayer 1803148482 4 186
AddPlayer 1293981664 5 46
AddPlayer -10 3 169
AddPlayer 2076911273 3 9
AddPlayer 1196482753 1929712235 178
AddPlayer 1263365366 5 6
AddPlayer 2095912574 3 92
AddPlayer 443562718 5 16
AddPlayer 197065218 3 158
AddPlayer 601719781 6 180
AddPlayer 673694376 3 90
AddPlayer 1052782561 4 65
AddPlayer 894359631 4 56
AddPlayer 877863924 1 159
AddPlayer 1539609756 4 109
AddPlayer 652215949 2 176
AddPlayer 1539115139 1 101
AddPlayer 2017645401 2 162
AverageHighestPlayerLevelByGroup 1 7
AddPlayer 1517054021 1151747154 57
AddPlayer 2141002360 3 90
AddPlayer 1644413328 1 155
AddPlayer 1555583582 4 15
AddPlayer 1368155215 2 -9
AddPlayer 1105054933 5 192
AddPlayer -8 1 44
AddPlayer 653900113 1 118
AddPlayer 1851243197 4 99
AddPlayer 383583118 4 94
AddPlayer 921041460 4 40
AddPlayer 516617962 1 119
AddPlayer 345616368 6 172
AddPlayer 1604149091 6 150
AddPlayer 1278517741 6 133
AddPlayer 995563127 2 136
AddPlayer 1671631070 5 102
AddPlayer 1726843389 1 16
AddPlayer 18520650 6 169
AddPlayer 1690753952 3 125
AddPlayer 1603023237 5 142
GetPercentOfPlayersWithScoreInBounds -1 22 0 0
AddPlayer 688800751 6 181
AddPlayer 916255047 6 147
AddPlayer 1310361955 3 182
GetPercentOfPlayersWithScoreInBounds 50488084 171 0 0
AddPlayer 704968519 3 183
AddPlayer 147946775 4 63
AddPlayer 1985914826 3 122
AddPlayer 1569703379 4 125
AddPlayer 440030592 1 186
AddPlayer 822817887 5 139
AddPlayer 35880302 6 83
AddPlayer 324331061 1 189
GetPercentOfPlayersWithScoreInBounds 1 189 0 0
AddPlayer 1323768465 6 80
RemovePlayer 1907156112
AddPlayer 1295421248 6 110
AddPlayer 1003137691 2 79
AddPlayer 461455326 6 176
AverageHighestPlayerLevelByGroup 4 7
AddPlayer 1312370745 5 189
AddPlayer 1940436019 1 182
AddPlayer 545903588 3 190
IncreasePlayerIDLevel 1985914826 5
AddPlayer 588059425 3 46
AddPlayer 179366151 2 37
AddPlayer 661792214 1 170
AddPlayer 88652808 5 84
AddPlayer 745512689 6 97
AddPlayer 1359677884 2 107
AddPlayer 1740755263 3 126
AddPlayer 498991516 5 12
AddPlayer 2001067298 2 166
AddPlayer 1255615073 3 15
AddPlayer 622081253 3 31
AddPlayer 283463633 1 169
AddPlayer 477704124 3 62
AddPlayer 661792214 2 75
AddPlayer 1791704184 1 147
AddPlayer 1772032297 6 172
AddPlayer 1141543609 3 84
AddPlayer 1064605483 6 99
AddPlayer 1700575037 4 92
AddPlayer 1140304890 5 79
AddPlayer 1386068667 1 139
AddPlayer 714353849 1 128
AddPlayer 579724374 1 45
AddPlayer 424997726 3 47
AddPlayer 933566047 4 186
AddPlayer 1534030075 4 37
AddPlayer 675629516 2 21
AddPlayer 608881009 -7 14
AddPlayer 1644893307 3 122
AddPlayer 1381215248 6 61
AverageHighestPlayerLevelByGroup 3 9
AddPlayer 530105094 6 -6
AddPlayer 1162031427 5 121
AddPlayer 211637202 2 59
AddPlayer 12574015 6 61
AddPlayer 2125822125 6 191
AddPlayer 931609818 3 71
AddPlayer -4 2 188
AddPlayer 1688697296 1 85
AddPlayer 595356154 3 157
AddPlayer 1768846617 1 116
AddPlayer 886466772 3 31
AddPlayer 513904313 2 100
AddPlayer 969409666 4 158
AddPlayer 1000541040 5 104
IncreasePlayerIDLevel 2125822125 4
AddPlayer 536540091 5 44
AddPlayer 105018751 4 98
AddPlayer 951734151 3 118
RemovePlayer 621809461
AddPlayer 625006262 1 8
AddPlayer 267553392 1 175
AddPlayer 505309403 6 100
AddPlayer 387978460 4 110
AddPlayer 1240852909 4 103
AddPlayer 1180957719 4 23
AddPlayer 573418000 1 5
AddPlayer 764214807 5 141
AddPlayer 368899017 5 109
ChangePlayerIDScore 894359631 65
AddPlayer 1719645882 3 61
AddPlayer 542600553 2 4
ChangePlayerIDScore 1799636738 75
AddPlayer 1833867630 1 81
AddPlayer 150033805 1 27
AddPlayer 504848375 1 47
AddPlayer 2135226838 2 161
MergeGroups 6 6
RemovePlayer 41707669
AddPlayer 166214674 5 131
MergeGroups 5 6
AddPlayer 188876828 5 154
AddPlayer 825699620 4 -6
AddPlayer 131515675 6 73
AddPlayer 119488590 5 165
AddPlayer 534983673 6 32
AddPlayer 1004988134 3 141
AddPlayer 1560278038 5 41
AddPlayer 763104929 2 71
AddPlayer 342511769 2 156
MergeGroups 6 1
AddPlayer 1285222773 4 71
AddPlayer 1121326629 1 155
AddPlayer 935605393 5 145
AddPlayer 833595176 1 13
AddPlayer 1937308391 5 49
AddPlayer 1809410093 1 743364962
AddPlayer 649856403 2 59
AddPlayer 414186896 6 46
AddPlayer 103443577 3 83
AddPlayer 375820067 1 35
AddPlayer 180465023 5 52
AddPlayer 546712504 2 107
AddPlayer 497864390 6 157
IncreasePlayerIDLevel 179366151 4
AddPlayer 713245431 2 61
AddPlayer 1648898749 1 112
AddPlayer 488978136 4 61
AddPlayer 1594253407 4 20
AddPlayer 1389161838 6 124
MergeGroups 4 3
GetPercentOfPlayersWithScoreInBounds 6 139 0 0
AddPlayer 288066353 6 110
AddPlayer 1138092828 3 151
AddPlayer 946662198 6 186
AverageHighestPlayerLevelByGroup 0 20
AddPlayer 684440060 5 130
AddPlayer 1474963927 2 24
AddPlayer 1707148206 2 191
AddPlayer 1186514266 4 135
AddPlayer 877699227 2 93
AddPlayer 714414425 3 110
AddPlayer 1184197798 4 44
AddPlayer 544071303 6 161
AddPlayer 651216886 5 33
IncreasePlayerIDLevel 199132885 2
GetPercentOfPlayersWithScoreInBounds 0 49 0 0
AddPlayer 671758920 1 88
AddPlayer 842237355 5 181
AddPlayer 1004023484 3 159
AddPlayer 1987376131 5 85
AddPlayer 1694887371 5 16
GetPercentOfPlayersWithScoreInBounds 0 62 0 0
AddPlayer 595236781 1 53
AddPlayer 805843068 5 29
AddPlayer 820834776 5 46
RemovePlayer 516617962
AddPlayer 641709452 4 95
AddPlayer 1494485783 5 127
AddPlayer 2116664589 2 183
AddPlayer 1456640889 326598603 11
AddPlayer 1089543125 4 47
AddPlayer 303262400 -9 32
AddPlayer 296287113 6 138
IncreasePlayerIDLevel 1404459091 -5
GetPercentOfPlayersWithScoreInBounds 5 192 0 0
AddPlayer 1789164297 3 180
ChangePlayerIDScore 152535249 171
AddPlayer 1397391 6 52
AddPlayer 550882775 2 148
AddPlayer 1271525830 6 135
AddPlayer -2 1 59
AddPlayer 1155188580 6 47
AddPlayer 1466697372 1 41
AddPlayer 1799484912 4 92
AddPlayer -2 1 73
AddPlayer 795822261 1 76
ChangePlayerIDScore 1582016055 115
AverageHighestPlayerLevelByGroup 1 92
MergeGroups 6 2
AddPlayer 2121721699 6 57
AddPlayer 1295634125 1 43
ChangePlayerIDScore 1759414480 52
GetPercentOfPlayersWithScoreInBounds 0 114 0 0
IncreasePlayerIDLevel -3 1
AddPlayer 1809564591 4 61
AddPlayer 1796945866 5 182
AddPlayer 1071803423 6 137
AddPlayer 1694607819 2 34
AddPlayer 726579827 3 120
AddPlayer 550882775 3 1
AddPlayer 377198297 4 21
AddPlayer 1804470187 4 40
AddPlayer 2050828125 2 14
GetPercentOfPlayersWithScoreInBounds 0 2 0 0
AddPlayer -10 3 172
AddPlayer 273801975 5 9
ChangePlayerIDScore 805843068 67
AddPlayer 1975636394 3 29
AddPlayer 1506223777 2 47
IncreasePlayerIDLevel 1270582602 2
AverageHighestPlayerLevelByGroup 1 117
AddPlayer 1172046225 1 22
AddPlayer 267553392 6 107
AddPlayer 1302181365 3 63
AverageHighestPlayerLevelByGroup 5 179
AddPlayer 4272571 1 167
AddPlayer 597084319 5 174
AddPlayer 610575050 1 55
AddPlayer 1905070981 4 50
AddPlayer 1840364221 1 -6
AddPlayer 28064812 4 149
AddPlayer 2067532344 -2 182
ChangePlayerIDScore 673694376 -7
AddPlayer 1782713468 2 28
AddPlayer 1796086393 3 65
AddPlayer 1796945866 4 6
AddPlayer 1390846796 6 73
AddPlayer 1638209493 4 122
AddPlayer 322813468 3 65
AddPlayer 2065482756 6 40
AddPlayer 343407519 3 9
AddPlayer 330417933 5 48
AddPlayer 912779303 1 142
AddPlayer 1541222971 5 15
ChangePlayerIDScore 758612536 133
AddPlayer 1187939743 1 184
AddPlayer 1311702726 4 118
RemovePlayer 283463633
AverageHighestPlayerLevelByGroup 6 278
AddPlayer 1633420887 5 148
AddPlayer 445377679 6 110
AddPlayer 1178191526 3 31
AddPlayer 411103095 2 4
AddPlayer 1838569845 3 166
AddPlayer 573879941 6 58
AddPlayer 1820753115 3 94
AddPlayer 141545896 6 139
AddPlayer 1031564779 1 123
AddPlayer 1293981664 2 7
AddPlayer 1228174760 1 178
AddPlayer -7 4 15
RemovePlayer 98611539
AddPlayer 1101445981 5 92
AddPlayer 566663551 6 39
AddPlayer 1872234474 5 4
AddPlayer -1 4 141
AddPlayer 180465023 3 95
AddPlayer 536833859 6 157
AddPlayer 833595176 3 158
MergeGroups 5 5
AddPlayer 1246333715 3 7
AddPlayer 673438315 6 0
AddPlayer 1242428001 -8 113
AddPlayer 140286400 3 168
AddPlayer 512613396 2 16
IncreasePlayerIDLevel 551280599 5
AddPlayer 297877655 6 21
AddPlayer 326178566 6 116
AddPlayer 1342525103 5 168
AddPlayer 414186896 4 132
GetPercentOfPlayersWithScoreInBounds 0 107 0 0
AverageHighestPlayerLevelByGroup 3 -3
AddPlayer 1412583524 2 90
AddPlayer 306883958 6 550711447
GetPercentOfPlayersWithScoreInBounds 0 177 0 0
AddPlayer 1637385318 3 131
