Init 81 10
AddPlayer 45504653 52 2
AddPlayer 1113378437 50 2
AddPlayer 1050679891 48 2
AddPlayer 166877973 36 7
AddPlayer 269266947 70 7
AddPlayer 808981785 25 6
AddPlayer 1149391419 56 2
AddPlayer 1467399793 81 6
AddPlayer 49193676 33 7
AddPlayer 2095539453 33 5
AddPlayer 1996118141 4 3
AddPlayer 2029831862 15 3
AddPlayer 899336609 53 2
AddPlayer 1738625085 16 10
AddPlayer 457463256 -9 6
AddPlayer 243966112 41 6
AddPlayer 1355104703 17 7
AddPlayer 2049878244 37 10
AddPlayer 1240907477 9 4
AddPlayer 1806272553 22 7
AddPlayer 175151741 1 4
AddPlayer 1704189630 14 9
AddPlayer 243966112 29 3
AddPlayer 1772287470 33 2
AddPlayer 2005806770 58 8
AddPlayer 2073080086 15 2
AddPlayer 2109054963 38 6
AddPlayer 1492149971 79 9
AddPlayer 1967214848 54 7
AddPlayer 703772068 22 8
AddPlayer 2077764181 35 3
AddPlayer 221893177 47 4
AddPlayer 1462964935 51 9
AddPlayer 1894739788 7 0
AddPlayer 1984593829 71 1
AddPlayer 2029831862 64 10
AddPlayer 32745538 12 6
AddPlayer 1751164510 29 5
AddPlayer 1288073262 1 10
AddPlayer 1277856922 8 1
AddPlayer 381402884 15 4
AddPlayer 1532209740 47 4
AddPlayer 1478717672 1 10
AddPlayer 453888171 75 1
AddPlayer 1832489135 53 9
AddPlayer 1433570696 4 1
AddPlayer 1356185943 17 7
AddPlayer 186437234 73 6
AddPlayer 2117802159 5 2
AddPlayer -1 16 5
AddPlayer 1632028201 18 8
AddPlayer 1006676288 56 7
AddPlayer -9 56 8
GetPercentOfPlayersWithScoreInBounds 36 6 0 0
AddPlayer 425124613 56 8
AddPlayer 366760159 11 5
AddPlayer 1688881381 9 1
AddPlayer 1085032668 73 5
AddPlayer 1178728424 43 10
AddPlayer 1760756690 27 8
AddPlayer 703071590 27 6
AddPlayer 1308439238 73 3
ChangePlayerIDScore 2029831862 -2
AddPlayer 1648949421 13 6
AddPlayer 1159053465 26 10
AddPlayer 1389913888 9 5
AddPlayer 247683735 18 9
AddPlayer 1519764905 13 10
AddPlayer 1358259238 78 3
AddPlayer 1283237787 3 4
AddPlayer 1214485787 65 4
AddPlayer 1356863598 23 2
AddPlayer 1808036379 20 1
AddPlayer 872030610 5 7
AddPlayer 1931370551 28 2
AddPlayer 1005876979 328479423 7
AddPlayer 655269494 68 2
AddPlayer 719201710 -2 5
AddPlayer 2085959671 56 3
AddPlayer 519468171 48 1
AddPlayer 1033775195 81 4
AddPlayer 483182926 65 3
AddPlayer 486232732 30 9
AddPlayer 1484234569 17 9
AddPlayer 24822408 1646756687 7
AddPlayer 1645668780 59 8
AddPlayer 1077768652 44 9
AddPlayer 2110835607 23 6
AddPlayer 1796291200 73 3
AddPlayer 2020011758 77 8
AddPlayer 600786253 27 7
AddPlayer 680726424 13 8
AddPlayer 1995237788 656160638 4
AddPlayer 1818630815 56 8
AddPlayer 1743842620 76 8
AddPlayer 475795674 36 9
AddPlayer 996279965 76 8
AddPlayer 1797815817 61 3
AddPlayer 1875276212 49 2
AddPlayer 436159873 47 3
AddPlayer 1957577856 47 7
AddPlayer 426895439 -7 5
AddPlayer 1894667003 4 6
AddPlayer 1906878578 77 3
AddPlayer 1248697726 23 6
GetPercentOfPlayersWithScoreInBounds 0 10 0 0
AddPlayer 599783074 42 3
RemovePlayer 996279965
AddPlayer 1127441501 37 7
AddPlayer 1656559392 69 6
AddPlayer 1743989557 64 8
AddPlayer 2022184428 11 9
AddPlayer 1787481090 70 1
AddPlayer 475795674 27 3
AddPlayer 479900584 15 7
AverageHighestPlayerLevelByGroup 0 4153
AddPlayer 1475413302 2 2
AddPlayer 712971759 36 10
AddPlayer 1203454228 39 8
AddPlayer 1431392327 34 4
AddPlayer 343077743 48 7
AddPlayer 1741021975 34 2
AddPlayer 1055567495 71 9
AddPlayer 2120216867 -6 3
AddPlayer 1796291200 47 9
AddPlayer 1500531270 1 4
AddPlayer 1162565340 66 10
AddPlayer 39394886 81 2
AddPlayer 844411268 54 7
AddPlayer 1684626170 9 1
AddPlayer 76365573 11 8
AddPlayer 2077142210 45 3
AddPlayer 362531194 3 5
AddPlayer 442811130 19 6
ChangePlayerIDScore 1492149971 1
AddPlayer 324470272 38 7
AddPlayer 1626308762 33 3
IncreasePlayerIDLevel 1967214848 7
AddPlayer 1334130448 74 1
AddPlayer 1763471646 26 1
AddPlayer 160246376 35 9
AddPlayer 1528090559 10 5
AddPlayer 33067464 71 9
AddPlayer 594488206 19 9
AddPlayer 1746993245 225084416 6
AddPlayer -4 77 7
AddPlayer 408098912 39 1
AddPlayer 385606157 60 6
AddPlayer 566854742 52 9
AddPlayer 1274538536 42 7
AddPlayer 419853183 71 2
AddPlayer 594488206 45 1
AddPlayer 1119758323 43 7
AddPlayer 340180191 35 9
ChangePlayerIDScore 160246376 10
AddPlayer 2122504049 41 10
AddPlayer 899336609 45 8
AverageHighestPlayerLevelByGroup 43 1
IncreasePlayerIDLevel 475795674 6
AddPlayer 2129010656 80 6
AddPlayer 1672047646 1 -6
AddPlayer 574523985 61 6
AddPlayer 2032431746 2 5
AddPlayer 34122108 49 7
AddPlayer 410745643 38 2
AddPlayer 1330429005 21 3
AddPlayer 593262180 66 8
AddPlayer 1283237787 61 2
AddPlayer 750877560 9 1869685517
AddPlayer 1523512655 3 10
AddPlayer 280536412 14 1789968357
AddPlayer 703071590 20 5
GetPercentOfPlayersWithScoreInBounds 143114031 3 0 0
AddPlayer 1284535359 53 8
AddPlayer 419853183 57 4
ChangePlayerIDScore 1996118141 8
AddPlayer 2140658309 11 9
AddPlayer 1712587961 53 3
MergeGroups 81 49
AddPlayer 224130453 47 9
AddPlayer 1274069918 49 3
AddPlayer 616608771 79 8
AddPlayer 1383375040 66 6
AddPlayer 543380316 19 2
AddPlayer 1022508477 27 6
AddPlayer 220296272 30 2
ChangePlayerIDScore 343077743 5
AddPlayer 1186169099 72 10
AddPlayer -1 66 2
AddPlayer 933715336 14 4
AddPlayer 1842649941 30 6
AddPlayer 563787901 27 -9
AddPlayer 623424282 68 5
AddPlayer 997577354 0 7
AddPlayer 189909173 36 8
AddPlayer 1936266706 31 7
AddPlayer 1190128867 32 6
AddPlayer -1 43 5
AddPlayer 1144304475 2 2
MergeGroups 60 59
AddPlayer 316574562 50 7
AddPlayer 34122108 63 2
AddPlayer 1895465467 70 10
AddPlayer 1866442006 53 1
AddPlayer 543563516 76 3
AddPlayer 355607522 64 1
AddPlayer 1274069918 8 9
AddPlayer 1164486684 13 5
AddPlayer 152488692 8 5
AddPlayer 764949286 70 2
AddPlayer 1627403879 33 5
AddPlayer 1045211468 7 6
AddPlayer 1523512655 50 6
AddPlayer 1812883762 26 9
AddPlayer 1726512205 77 8
AddPlayer 662416579 78 7
AddPlayer 644374642 26 10
AddPlayer 1421279895 45 10
AddPlayer 612738477 76 8
AddPlayer 1237829471 30 8
AddPlayer 1043752263 17 2
