Init 11 154
AddPlayer 1028952084 4 150
AddPlayer 640304490 10 121
AddPlayer 1054145305 6 37
AddPlayer 1064502928 6 97
AddPlayer 646769902 2 11
AddPlayer 1223568274 9 -2
AddPlayer 644563418 5 52
AddPlayer 785070041 4 28
AddPlayer 1901355783 11 56
AddPlayer -6 11 6
AddPlayer -10 1 111
AddPlayer 1567382083 2 81
AddPlayer 422333396 3 144
AddPlayer 1310297070 8 2
AddPlayer 1990329906 4 21
AddPlayer 1801866732 3 0
AddPlayer 511237332 11 36
AddPlayer 620762872 -3 9
AddPlayer 1772525302 3 71
AddPlayer 531747301 2 140
AddPlayer 1854846824 2 142
AddPlayer 378095544 1 140
AddPlayer 272894346 6 73
AddPlayer 2069165278 6 78
AddPlayer 1135514724 5 149
AddPlayer 1325739286 3 84
AddPlayer 224100801 3 731238496
AddPlayer 1306212211 10 55
AddPlayer 1524428063 8 31
AddPlayer -7 11 97
AddPlayer 2079671739 7 58
AddPlayer 785070041 2 100
AddPlayer 2076840665 1 130
AddPlayer 1612457198 6 58
AddPlayer 1349424276 11 118
AddPlayer 570396894 4 154
AddPlayer 1919731563 7 62
AddPlayer 1236366818 1 113
AddPlayer 1128499786 11 924459976
AddPlayer 364080960 5 65
AddPlayer 671904765 10 50
AddPlayer 304179709 1 30
AddPlayer 160647516 3 37
AddPlayer 416410166 8 23
AddPlayer 2005809372 6 45
AddPlayer 1172660061 10 4
AddPlayer 1135514724 4 45
AddPlayer 726879876 4 73
AddPlayer -3 10 3
AddPlayer 1131665210 3 11
AddPlayer 979762279 4 118
AddPlayer 902512091 5 134
AddPlayer 1974236945 4 126
AddPlayer 1153497687 7 79
AddPlayer 1005823714 9 6
AddPlayer 899436843 2 84
IncreasePlayerIDLevel 2076840665 5
AddPlayer 640304490 9 80
MergeGroups 11 7
AddPlayer 787866678 7 109
AddPlayer 2113387059 2 1
AddPlayer 748831834 10 139
AddPlayer -5 2 60
AddPlayer 1385456406 11 109
AddPlayer 2078235470 9 -8
AddPlayer -5 3 33
AddPlayer 944453538 4 137
AddPlayer 1691046302 8 6
AddPlayer 2092351114 5 61
AddPlayer 1752252771 1 81
AddPlayer 1173536651 7 115
AddPlayer 1154367955 11 20
AddPlayer 954800173 3 73
AddPlayer 2146224379 4 141
AddPlayer 763007341 8 140
AddPlayer 2142427048 2 55
AddPlayer 540120406 4 118
AddPlayer 106300094 7 48
AddPlayer 794574316 11 38
AddPlayer 864518500 11 2
AddPlayer 1415722391 3 88
AddPlayer 1338878190 7 87
AddPlayer 1925833532 1 128
AddPlayer 1022602753 3 103
AddPlayer 335773841 11 29
AddPlayer 183464156 7 11
AddPlayer 2024790664 4 100
AddPlayer 936904044 1192248646 14
AddPlayer 860299588 11 139
AddPlayer 827820812 11 105
AddPlayer 1415722391 6 25
GetPercentOfPlayersWithScoreInBounds 0 118 0 0
AddPlayer 351251277 11 43
AddPlayer 1028952084 11 25
AddPlayer 1473153431 2 6
AddPlayer 501098553 1 146
AverageHighestPlayerLevelByGroup 3 7
AddPlayer 1753429118 1 54
AddPlayer 1627943627 10 19
AddPlayer 1927717776 10 67
AddPlayer 799012017 4 109
AddPlayer 952405227 10 107
AddPlayer 1087468350 -3 61
AddPlayer 1441216126 10 82
AddPlayer 1172660061 10 74
AddPlayer 1625327997 3 62
AddPlayer 1126372619 10 69
AddPlayer 1865742549 0 128
AddPlayer 1899266424 1 122
AddPlayer 363018034 9 85
AddPlayer 1087800038 6 6
AddPlayer 1622349581 2 141
AddPlayer 240013055 3 101
AddPlayer 1060386033 9 28
AddPlayer 1519715975 11 49
AddPlayer 254370707 6 86
AddPlayer 363156485 10 43
AddPlayer 1254763943 6 16
AddPlayer 564487868 7 85
AddPlayer 2113206463 9 56
AddPlayer 1182815494 7 15
AddPlayer 1465571052 3 39
AddPlayer 1259528624 1 87
AddPlayer 996243619 3 71
AddPlayer 166011459 9 43
AddPlayer 1170403074 10 12
AddPlayer 2114785151 6 122
AddPlayer 1349424276 6 73
AddPlayer 626970216 1 8
AddPlayer 1191990423 6 105
AddPlayer 327748415 4 105
AddPlayer 1441216126 8 94
AddPlayer 2115670273 6 78
RemovePlayer 2137472670
AddPlayer 2145370970 7 102
AddPlayer 1624383201 8 75
AddPlayer 1501750250 11 1155884599
AddPlayer 1810210964 9 72
AddPlayer 1375163023 10 444622767
AddPlayer 750901304 4 18
AddPlayer 24451535 9 10
AddPlayer -9 10 105
AddPlayer 257629816 10 2
IncreasePlayerIDLevel 1925833532 3
AddPlayer 421859152 11 126
AddPlayer 1551422727 1 86
GetPercentOfPlayersWithScoreInBounds 0 86 0 0
RemovePlayer 1060386033
RemovePlayer 748831834
AddPlayer 2065909812 5 123
AddPlayer 1416275398 4 28
AddPlayer 321077118 9 51
GetPercentOfPlayersWithScoreInBounds 0 28 0 0
AddPlayer 1174581733 7 89
AddPlayer 1941749057 5 31
AddPlayer 257629816 3 22
GetPercentOfPlayersWithScoreInBounds 0 6 0 0
AddPlayer 1279396413 4 108
IncreasePlayerIDLevel 351251277 8
AddPlayer 555309291 7 122
AddPlayer 1152038573 2 142
GetPercentOfPlayersWithScoreInBounds 5 61 0 0
AddPlayer 1774672076 11 43
AddPlayer 752446292 7 1004113986
AddPlayer 246872284 6 99
AddPlayer 728182852 11 138
AddPlayer 1519513413 1 105
AddPlayer 598531459 5 -7
AddPlayer 1663791743 4 16
AddPlayer 1640559115 1 6
AddPlayer 1162363951 11 51
AddPlayer 453079335 1 24
RemovePlayer 321077118
AddPlayer 970614532 1 139
AddPlayer 1814042788 8 60
AddPlayer 333454114 3 60
ChangePlayerIDScore 0 46
AddPlayer -5 7 115
AddPlayer 1238546704 1 108
AddPlayer 795648788 942221213 123
GetPercentOfPlayersWithScoreInBounds 5 61 0 0
AddPlayer 222491562 1 40
AddPlayer 705833508 5 135
AddPlayer 1170403074 2 48
RemovePlayer 1174581733
AddPlayer 2135609939 11 21
AddPlayer 1777657419 8 19
AddPlayer 2079776654 7 87
AddPlayer 399049897 1 30
AddPlayer 1710541689 3 89
AddPlayer 1052116249 5 150
AddPlayer 2142427048 7 56
IncreasePlayerIDLevel 226667475 7
AddPlayer 233313468 1 26
AddPlayer 1738723708 3 58
AddPlayer 1036957203 7 63
AddPlayer 1976861829 8 137
AddPlayer 1724494962 11 20
RemovePlayer 1306212211
AddPlayer 433661269 3 121
AddPlayer 634752828 9 73
AddPlayer 2024887409 1 142
AddPlayer 36686204 11 33
ChangePlayerIDScore 1465571052 43
AddPlayer 339952861 9 130
AddPlayer 799012017 2 111
AddPlayer 153964295 6 16
MergeGroups 6 1445601632
AddPlayer 891175502 -8 130
AddPlayer 1978279193 8 40
AddPlayer 1976972349 4 103
AddPlayer 1116472043 11 36
GetPercentOfPlayersWithScoreInBounds 9 35 0 0
AddPlayer 2092351114 6 2
ChangePlayerIDScore 0 132
AddPlayer 1086411876 426438281 68
AddPlayer 1253156361 4 84
AddPlayer 1549655543 6 129
AddPlayer 31835209 7 106
AddPlayer 983238851 1 106
AddPlayer 1849332013 2 71
AddPlayer 429970325 8 84
AddPlayer 317092533 4 64
AddPlayer 947340382 7 85
RemovePlayer 1551422727
GetPercentOfPlayersWithScoreInBounds 7 11 0 0
AddPlayer 866937050 8 100
ChangePlayerIDScore 2079671739 10
AddPlayer -9 2 116
AddPlayer -6 10 154
RemovePlayer 1259528624
AddPlayer 359964837 4 47
GetPercentOfPlayersWithScoreInBounds 0 83 0 0
AddPlayer 2146224379 3 91
MergeGroups 3 11
AddPlayer 1355573622 5 90
RemovePlayer 540120406
AddPlayer 2133111478 9 142
AddPlayer 1694216627 6 133
AddPlayer 899295927 11 102
AddPlayer 896104615 11 1207754076
AddPlayer 1431759921 8 48
AddPlayer 1061818571 8 16
AverageHighestPlayerLevelByGroup 0 16
AddPlayer 1154367955 2 150
ChangePlayerIDScore 1524428063 85
AddPlayer 1787490523 3 60
AddPlayer -8 7 104
AddPlayer 1288897463 3 153
AddPlayer 1822129910 1 99
AddPlayer 1444917101 1994127954 80
AverageHighestPlayerLevelByGroup 0 17
IncreasePlayerIDLevel 2024887409 2
AddPlayer 799285229 8 124
AddPlayer 1901690024 3 23
AddPlayer 413743900 1 112
AddPlayer 1483810931 7 102
AddPlayer 1796101482 8 94
AddPlayer 1298098439 5 89
AddPlayer 1128855931 11 106
MergeGroups 11 8
AddPlayer 757241951 3 111
AddPlayer 2136832326 10 140
AddPlayer 1774419081 3 67
AddPlayer 638077206 3 66
AddPlayer 1463967474 7 108
AddPlayer -8 10 57
GetPercentOfPlayersWithScoreInBounds 0 140 0 0
GetPercentOfPlayersWithScoreInBounds 5 150 0 0
ChangePlayerIDScore -2 109
AddPlayer -3 4 59
AddPlayer 1044860539 3 1
GetPercentOfPlayersWithScoreInBounds 0 35 0 0
AddPlayer 1957998044 1133314788 63
IncreasePlayerIDLevel 2065909812 3
AddPlayer 541975776 1 37
AddPlayer -4 6 66
AddPlayer 1938166195 3 143
AddPlayer 1538811033 9 57
AddPlayer 635333639 4 2
AddPlayer 399049897 5 154
MergeGroups 4 11
AverageHighestPlayerLevelByGroup 1 21
AddPlayer 1412292755 9 57
RemovePlayer -4
AddPlayer 275672049 5 70
GetPercentOfPlayersWithScoreInBounds 7 8 0 0
AddPlayer 1225344362 4 150
MergeGroups 1 11
AddPlayer 545757350 2 11
ChangePlayerIDScore -7 102
IncreasePlayerIDLevel 36686204 4
AddPlayer 1782493948 4 44
MergeGroups 8 9
AddPlayer 11528278 11 47
AddPlayer 458406771 3 6
AddPlayer 1792523942 5 32
AddPlayer 107424487 5 47
AddPlayer -5 4 56
AddPlayer 1354181933 4 64
AddPlayer 1747619083 4 2
AddPlayer 1683251902 11 113
AddPlayer 1211006456 3 14
AddPlayer 77314039 2 45
AddPlayer 1988708815 8 141
AverageHighestPlayerLevelByGroup 0 167
IncreasePlayerIDLevel 433661269 9
IncreasePlayerIDLevel 646769902 6
MergeGroups 3 11
AddPlayer 622405048 11 31
AddPlayer 2008271276 6 83
AddPlayer 517519923 1 83
AddPlayer 949486920 5 147
AddPlayer 2082949128 1 118
AddPlayer 1738723708 5 117
AddPlayer -6 3 101
AddPlayer 1821460805 4 145
AddPlayer 1232945207 8 32
ChangePlayerIDScore 1415722391 111
AverageHighestPlayerLevelByGroup 11 71
AddPlayer 169024981 7 2
MergeGroups 8 3
AddPlayer 1930133836 8 68
