Init 78 117
AddPlayer 570662182 47 2
AddPlayer 570662182 21 42
AddPlayer 873592206 19 85
AddPlayer 238547988 34 82
AddPlayer 1772104089 11 -9
AddPlayer 1032359712 63 93
AddPlayer -3 4 94
AddPlayer 349240428 58 675025452
AddPlayer 1245622224 76 97
AddPlayer 507416237 25 106
AddPlayer 1032359712 56 53
AddPlayer -9 61 70
AddPlayer 1164790742 63 -7
AddPlayer 498089700 30 42
AddPlayer 1919750685 29 115
AddPlayer 1385464440 59 105
AddPlayer 1015175103 34 35
AddPlayer 1536993514 38 62
AddPlayer 1940740374 48 84
AddPlayer 873592206 5 82
AddPlayer 966857684 3 2
AddPlayer 570662182 20 7
AddPlayer 1608242645 32 14
AddPlayer 455942108 47 50
AddPlayer 332489735 64 110
AddPlayer 2008222200 49 46
AddPlayer 294374262 7 48
AddPlayer 875830533 32 33
AddPlayer 2076742324 25 27
AddPlayer 1608242645 22 2
AddPlayer 566840147 71 63
AddPlayer -8 73 8
AddPlayer 101222381 69 8
AddPlayer 2013265143 36 70
AddPlayer 2065064525 41 69
AddPlayer 1855123023 39 34
AddPlayer 416338138 61 36
AddPlayer 1478055307 36 61
AddPlayer 2133816380 31 103
AddPlayer -6 55 24
AddPlayer 728385031 65 77
AddPlayer 1633447400 17 99
AddPlayer 1174247124 44 43
AddPlayer 385802757 63 12
AddPlayer 441356448 28 37
AddPlayer 1711561342 66 31
AddPlayer 134080885 27 30
AddPlayer 332489735 64 65
AddPlayer 364496289 36 117
AddPlayer 2013265143 29 2
AddPlayer 1618912005 25 94
AddPlayer 1984249165 2 23
AddPlayer 1995203320 30 54
AddPlayer 1115610479 22 1377704472
AddPlayer 1476096246 8 51
AddPlayer 214167915 78 112
AddPlayer 1775776921 66 56
AddPlayer 1916937327 28 5
RemovePlayer 1476096246
AddPlayer 1777706071 68 39
AddPlayer 2008222200 14 82
AddPlayer 1252267171 8 89
AddPlayer 1658813762 74 98
AddPlayer 1860789424 7 73
AddPlayer 240553503 26 68
AddPlayer -3 11 49
AddPlayer 399708618 18 40
AddPlayer 876483987 29 125933548
AddPlayer 2091103206 41 50
AddPlayer 893007955 76 4
AddPlayer 924014296 75 93
AddPlayer 2013265143 71 96
AddPlayer 1679868325 19 19
AddPlayer 427810546 22 39
AddPlayer 1483227491 16 66
AddPlayer 352430416 6 114
AddPlayer 1344889226 6 8
RemovePlayer 1209580305
ChangePlayerIDScore 2076742324 57
ChangePlayerIDScore 873592206 52
AddPlayer 543657953 50 94
AddPlayer 2120005973 51 -4
AddPlayer 1020284050 74 31
AddPlayer 1443364002 12 18
AddPlayer 674588337 40 14
AddPlayer 1745280855 54 24
AddPlayer -5 75 45
AddPlayer 1457654963 66 36
AddPlayer 1885226842 30 52
AddPlayer 1491495854 55 40
AverageHighestPlayerLevelByGroup 0 5584
AddPlayer 402112659 44 56
AddPlayer 713929224 53 13
AddPlayer 1270891836 54 102
AddPlayer 349070230 41 43
AddPlayer 876758558 27 60
AddPlayer 441356448 4 81
AddPlayer 707914102 21 9
AverageHighestPlayerLevelByGroup 0 58
AddPlayer 1894318619 1453491378 39
AddPlayer -9 36 95
AddPlayer 1206942345 66 86
AddPlayer 1589125824 56 43
AddPlayer 2050230421 65 38
AddPlayer 482752329 2 101
AddPlayer 556779539 78 19
IncreasePlayerIDLevel 427810546 2
AddPlayer 570662182 5 55
AddPlayer 1244442094 53 44
AddPlayer 1086958846 57 60
AddPlayer 509087367 10 108
AddPlayer 1836528667 18 102
AddPlayer 1801525590 50 33
AverageHighestPlayerLevelByGroup 30 3
AddPlayer 2128356957 38 11
AddPlayer 795170847 69 12
AddPlayer 354781657 40 49
AddPlayer 713929224 23 106
GetPercentOfPlayersWithScoreInBounds 31 103 0 0
AddPlayer 2069754940 19 107
AddPlayer 1101669418 50 80
AddPlayer 814544601 30 111
AddPlayer 1255507901 41 18
MergeGroups 75 73
AddPlayer 1483227491 18 48
AddPlayer 1589125824 14 24
AddPlayer 1264464622 35 78
AddPlayer 302235518 4 24
AddPlayer 1985114140 63 53
AddPlayer 1679005438 19 81
AddPlayer 1686319103 18 117
AddPlayer 733113180 50 91
AddPlayer 554908817 16 63
AddPlayer 1228274105 50 12
AddPlayer 102790324 45 78
AddPlayer 697137664 72 72
AddPlayer 722941422 74 31
AddPlayer 1167042462 34 110
AddPlayer 853416360 9 5
AddPlayer 783376895 64 26
AddPlayer 425321128 38 108
AddPlayer 2127931822 2 93
AddPlayer 1544355993 68 15
AddPlayer 1344889226 22 63
AddPlayer 465751094 3 14
IncreasePlayerIDLevel 556779539 9
ChangePlayerIDScore 934085008 19
AddPlayer 2128356957 1 36
AddPlayer 1849701376 25 88
AddPlayer 1174517896 25 1
AddPlayer 1248874210 48 99
AddPlayer 1190109364 9 37
AddPlayer 430422172 5 114
AddPlayer -8 57 6
AddPlayer 465661270 71 38
AddPlayer 1861417165 8 62
AddPlayer 739738424 71 112
AddPlayer 1370318700 17 39
AddPlayer 641191641 67 52
AddPlayer 855553825 58 42
AddPlayer 1293095213 67 18
AddPlayer 1313968111 18 30
AddPlayer 46837540 9 69
AddPlayer 1527974012 63 114
