Init 48 31
AddPlayer 805617282 8 28
AddPlayer 964125316 22 2
AddPlayer 451144936 1 3
AddPlayer 1374407076 24 14
AddPlayer 1169040095 2 22
AddPlayer 809852738 505531839 10
AddPlayer 993636546 9 31
AddPlayer 1271087745 48 11
AddPlayer -7 10 19
AddPlayer 829477398 5 4
AddPlayer 71788503 38 26
AddPlayer 529087533 34 31
AddPlayer 1227181202 43 26
AddPlayer 880790901 13 19
AddPlayer 1338682957 -4 13
AddPlayer 113872237 48 31
AddPlayer 1840323529 32 19
AddPlayer 212358315 42 4
AddPlayer 469546580 11 16
AddPlayer 1315488492 47 1
AddPlayer 1967581917 3 20
AddPlayer 1060057585 31 24
AddPlayer 224750777 32 4
AddPlayer 292597984 43 24
AddPlayer 2074904185 2 12
AddPlayer 473620248 42 11
AddPlayer 1653543626 13 10
AddPlayer 1860877206 7 21
AddPlayer 1437350336 7 12
AddPlayer 509068190 32 29
AddPlayer 1175069610 29 27
AddPlayer 1743232404 11 10
AddPlayer 772646755 40 24
AddPlayer 216058531 40 6
AddPlayer 1653543626 19 27
AddPlayer 1202069729 33 7
AddPlayer 1190446560 22 24
AddPlayer -6 4 15
AddPlayer 1028496815 7 13
AddPlayer 554872054 7 17
AddPlayer 1551369646 35 1
AddPlayer 379215213 19 22
AddPlayer 805617282 4 25
AddPlayer 1642379830 35 27
AddPlayer 2074904185 22 1
AddPlayer 1433476098 31 5
AddPlayer 2074904185 44 22
AddPlayer 226881231 11 2
AddPlayer 641430186 8 7
AddPlayer 1817563209 44 20
AddPlayer 1696111707 4 5
AddPlayer 829477398 44 2
AddPlayer 112336039 5 20
AddPlayer 1192496014 48 27
AddPlayer 1611085556 4 7
AddPlayer 641430186 32 27
AddPlayer 1558088295 34 10
AddPlayer 1409251345 25 28
AddPlayer 2021861577 35 12
AddPlayer 507022870 7 19
AddPlayer 1598691546 34 31
AddPlayer 638925665 38 22
AddPlayer 486711954 22 6
AddPlayer 880790901 1 22
AddPlayer 104235150 20 2
AddPlayer 828734036 14 8
AddPlayer 588256241 34 18
AddPlayer 625526979 6 1
AddPlayer 1740997483 2 7
AddPlayer 73591958 13 -1
AverageHighestPlayerLevelByGroup 40 2
AddPlayer 2102145416 11 4
AddPlayer 770010893 1 8
AddPlayer 308607801 42 21
AddPlayer 1768474931 21 25
AddPlayer 2016246506 22 15
IncreasePlayerIDLevel 113872237 2
AddPlayer 612088584 5 2
AddPlayer 1270725069 43 28
AddPlayer 150647731 9 18
AddPlayer 1872489541 36 1736073580
AddPlayer 964125316 5 3
AddPlayer 718732022 2 21
AddPlayer 1405640745 5 27
AddPlayer 1534126108 37 13
AddPlayer 1190963274 7 22
AddPlayer 1933657876 15 12
AddPlayer 2016306238 25 28
AddPlayer 1326099209 27 18
AddPlayer 431013970 936123179 23
AddPlayer 1703442567 19 5
AddPlayer 498103316 30 27
AddPlayer 80887472 -5 20
AddPlayer 1348824759 44 25
AddPlayer 67773823 20 11
AddPlayer 0 36 2
AddPlayer 507233857 35 3
IncreasePlayerIDLevel 1008800586 2
AddPlayer 1588618123 44 26
AddPlayer 1164702356 37 6
AddPlayer 1915629962 30 20
AddPlayer 795003101 45 24
AddPlayer 1447346679 2 22
AddPlayer 1144269934 45 3
AddPlayer 672064372 33 21
AddPlayer 1741251811 5 19
AddPlayer 559827850 11 25
AddPlayer 275932178 13 14
AddPlayer 339618006 14 9
AddPlayer 803180932 -6 27
AddPlayer 1602953549 36 2
AddPlayer 1661383754 5 10
AddPlayer 105427138 27 29
AddPlayer 256673926 14 5
AddPlayer 559827850 37 29
AddPlayer 532640939 29 28
AddPlayer 1393076277 5 29
AddPlayer 825360985 4 22
AddPlayer 988110688 4 26
AddPlayer 63980997 42 23
IncreasePlayerIDLevel 308607801 3
AddPlayer 1788774317 18 17
ChangePlayerIDScore 559827850 9
AddPlayer 2016306238 38 29
AddPlayer 1171926054 36 26
AddPlayer 2067486110 -5 11
