Init 34 24
AddPlayer 850099182 21 16
AddPlayer 2024889072 6 13
AddPlayer 2025437161 12 6
AddPlayer 1001505094 33 17
AddPlayer 811712858 11 8
AddPlayer 931779117 9 19
AddPlayer 1224384758 16 4
AddPlayer 69937446 11 9
AddPlayer 587447802 16 21
AddPlayer 218392865 27 5
AddPlayer 1001505094 30 21
AddPlayer 48779664 15 8
AddPlayer 1587765914 25 24
AddPlayer 2025437161 10 5
AddPlayer 728505818 28 19
AddPlayer 218392865 26 6
AddPlayer 461950572 7 9
AddPlayer 1136384977 12 12
AddPlayer 765063891 14 16
AddPlayer -1 28 21
AddPlayer 1664601111 18 22
AddPlayer 48779664 28 24
AddPlayer 1736973554 29 13
AddPlayer 841360848 19 11
AddPlayer 1509256894 31 7
AddPlayer 1502456839 3 4
AddPlayer 1507258261 10 4
AddPlayer 914212687 -4 13
AddPlayer 85462852 25 4
AddPlayer 1095806357 32 15
AddPlayer 2107602732 30 23
AddPlayer 461945172 18 19
AddPlayer 728505818 31 3
AddPlayer 1920799485 20 8
AddPlayer 2107602732 34 18
AddPlayer 211475624 25 7
AddPlayer -10 5 18
AddPlayer 404720893 26 14
AddPlayer -10 34 14
AddPlayer 461945172 25 12
AddPlayer 788799161 18 11
AddPlayer 1767623427 13 17
AddPlayer 1014752282 7 10
AddPlayer 720674011 5 5
AddPlayer -1 26 7
AddPlayer 943949120 25 15
AddPlayer 177268910 7 4
AddPlayer 1271067974 34 22
AddPlayer 1182734285 30 12
AddPlayer 1077778397 12 10
AddPlayer 186209470 27 24
AddPlayer 2107602732 7 14
AddPlayer 1335667199 1 22
AddPlayer 675411209 4 21
AddPlayer 1403731945 25 24
AddPlayer 1645993277 23 3
AddPlayer 7170307 29 24
AddPlayer 1271427577 19 384795566
AddPlayer 467547502 23 6
AddPlayer 1723026534 23 18
AddPlayer 496300016 635262335 10
AddPlayer 1184789982 11 22
IncreasePlayerIDLevel 1664601111 3
AddPlayer 1511953755 13 3
AddPlayer 970110911 17 24
AddPlayer -5 29 4
AddPlayer 630239800 23 8
AddPlayer 1693523048 31 -9
AddPlayer 1296504090 16 18
AddPlayer 1925041003 2002866496 15
AddPlayer 1509256894 5 24
AddPlayer 1993832369 9 2
AddPlayer 467547502 26 21
AddPlayer 1118991036 24 12
AddPlayer 103607563 4 12
AddPlayer 942851840 967191148 23
AddPlayer 1348358455 13 21
AddPlayer 782392804 4 8
AddPlayer 157113233 7 1
AddPlayer 752453305 6 14
AddPlayer 840149743 22 12
AddPlayer 1410421329 28 22
AddPlayer 1993832369 32 5
AddPlayer 831331556 29 6
AddPlayer 1032682045 14 15
AddPlayer 71905311 23 15
AddPlayer 1275301828 25 16
AddPlayer 1561132692 28 19
AddPlayer 1986215703 21 7
AddPlayer 1970711838 11 1
AddPlayer 640440428 12 4
AddPlayer 454264163 18 3
AddPlayer 209359643 28 7
AddPlayer 873544565 34 21
AddPlayer 517096580 34 10
AddPlayer 674052110 6 10
AddPlayer 2045226327 5 10
AddPlayer 1165459683 18 5
IncreasePlayerIDLevel 471208843 7
AddPlayer 1962039226 34 23
AddPlayer 1623411437 12 5
AddPlayer 1914795123 24 17
RemovePlayer 1509256894
AddPlayer 892655365 12 23
AddPlayer 1723062225 10 7
AddPlayer 1625075218 26 5
AddPlayer 628604644 16 17
AddPlayer 1381654905 16 18
AddPlayer 595579870 29 6
AddPlayer 439579316 8 19
AddPlayer 1277670805 17 11
AddPlayer 587447802 4 17
AddPlayer 1402081111 34 11
AddPlayer 1623411437 12 6
AddPlayer 149350296 8 3
AddPlayer 496910162 10 17
AddPlayer 1806989840 184917942 13
AddPlayer 846487050 30 9
AddPlayer 946736089 11 13
AddPlayer 555447629 19 12
AddPlayer 71905311 11 12
AddPlayer 1267798686 13 17
AddPlayer -2 24 21
RemovePlayer 850099182
MergeGroups -7 30
AddPlayer 1302426468 34 4
AddPlayer 1847165699 12 13
AddPlayer 1459276898 9 1
AddPlayer 1397113665 12 5
AddPlayer 1428767537 20 8
AddPlayer 227043151 27 2
AddPlayer 125178162 23 9
AddPlayer 1943127445 13 16
AddPlayer 774054089 34 21
AddPlayer 1743657785 4 1
AddPlayer 1682141977 22 2
AddPlayer 945131804 22 18
AddPlayer 825361925 6 9
AddPlayer 431116892 27 2
IncreasePlayerIDLevel 1914795123 7
AddPlayer 404720893 15 1
AddPlayer 61747584 29 20
AddPlayer 1898573677 19 6
AddPlayer 630239800 23 6
AddPlayer -10 33 5
AddPlayer 1526230476 60190018 20
AddPlayer 1143537187 13 18
AddPlayer 2116552238 34 5
AddPlayer 72488131 8 11
AddPlayer 2055589078 28 10
MergeGroups 12 25
AddPlayer 263129101 11 18
AddPlayer 974144749 33 20
AddPlayer 175948678 31 1
AddPlayer 1630315353 31 22
AddPlayer 1743657785 6 3
AverageHighestPlayerLevelByGroup 0 56
AddPlayer 288938916 5 13
AddPlayer 811712858 20 23
AddPlayer 1028586785 21 13
RemovePlayer 1302426468
AddPlayer 1118939175 9 12
AddPlayer 690673550 18 18
AddPlayer 1088219236 25 5
AverageHighestPlayerLevelByGroup 0 107
AddPlayer 694829872 3 23
AddPlayer 1299315913 20 7
AddPlayer 276515124 17 6
AddPlayer 1941047608 17 11
MergeGroups 28 14
AddPlayer 1209697415 22 19
AddPlayer 400012200 3 1
AddPlayer 92578058 15 15
AverageHighestPlayerLevelByGroup 12 6
AddPlayer 965201640 22 8
AddPlayer 1878765102 33 8
AddPlayer 386083020 8 16
AddPlayer 448230817 15 18
AddPlayer 1550703979 24 1686532790
AddPlayer 1935997614 23 21
AddPlayer 1302173195 21 14
AddPlayer 1202215858 33 16
AddPlayer 1484430491 21 10
AddPlayer 1362281182 28 9
AddPlayer 840202837 4 1
AddPlayer 2032399160 11 11
AddPlayer 1525126251 23 2
AddPlayer 2079070836 30 10
ChangePlayerIDScore 2025437161 3
AddPlayer 1024657265 26 9
AddPlayer 218392865 10 11
AddPlayer 702698588 22 21
AddPlayer 1041476406 33 24
AddPlayer 1664360639 4 5
AddPlayer 1875467750 27 20
IncreasePlayerIDLevel 1664601111 6
AddPlayer 53078598 15 11
AddPlayer 1442178480 26 20
AddPlayer 2095195757 16 22
AddPlayer 1188123007 12 24
AddPlayer 1180272525 10 19
AddPlayer 1244824545 9 5
AddPlayer 1253917980 1 1
AddPlayer 1047526029 24 10
GetPercentOfPlayersWithScoreInBounds 0 11 0 0
AddPlayer 22560523 15 19
AddPlayer 31002193 33 21
AddPlayer 720674011 9 12
AddPlayer 1774872250 23 18
AddPlayer 2008536401 6 1
GetPercentOfPlayersWithScoreInBounds 0 19 0 7
AddPlayer 1404203093 28 2
ChangePlayerIDScore 694829872 13
AddPlayer 595999820 34 5
MergeGroups 28 30
AddPlayer 1839092149 17 8
AddPlayer 2090248884 15 22
AddPlayer 921069040 33 2
AddPlayer 309282059 32 18
AddPlayer 1041476406 14 21
AddPlayer 1031649169 24 18
AddPlayer 1396432296 26 18
AddPlayer 831331556 31 22
GetPercentOfPlayersWithScoreInBounds 0 6 0 0
AddPlayer 5130377 14 10
AddPlayer 1165630456 18 9
AddPlayer 1300379180 26 5
AddPlayer 1758870772 20 9
AddPlayer 1636600543 8 4
AddPlayer 843962942 15 3
AddPlayer 1630315353 18 12
AddPlayer 1965835894 23 15
AddPlayer 838646726 12 11
AddPlayer 148188381 16 18
AddPlayer 2063113324 30 8
AddPlayer 1922769965 18 2
AddPlayer 263129101 2 20
IncreasePlayerIDLevel 314102264 1
ChangePlayerIDScore 595579870 15
AddPlayer 1700963070 19 1535152703
AddPlayer 1510507448 18 12
AddPlayer 406406086 27 16
AddPlayer 1595914941 20 9
ChangePlayerIDScore 1630315353 17
AddPlayer 1855004184 10 19
ChangePlayerIDScore 1254116832 11
IncreasePlayerIDLevel 72488131 5
AddPlayer 589758349 32 22
AddPlayer 897134287 11 23
GetPercentOfPlayersWithScoreInBounds 5 18 0 0
AddPlayer 120960176 23 16
AddPlayer 271320373 19 24
AddPlayer 2064396278 2 15
AddPlayer 1876099258 25 2
IncreasePlayerIDLevel 209359643 7
AddPlayer 519687795 24 16
AddPlayer 835650530 34 24
AddPlayer 960407545 10 23
AddPlayer 1820496345 8 21
AddPlayer 1091696280 8 24
AddPlayer 400012200 31 4
ChangePlayerIDScore -9 7
AddPlayer 1253721445 11 13
AddPlayer 182441966 27 15
AddPlayer 291151501 23 2
AverageHighestPlayerLevelByGroup 0 139
AddPlayer 269197227 15 14
RemovePlayer 1743657785
AverageHighestPlayerLevelByGroup 15 4807
AddPlayer 1738675187 3 11
ChangePlayerIDScore 628604644 10
AddPlayer 1232050680 5 20
AddPlayer 321760343 27 24
AddPlayer 1090524981 21 6
RemovePlayer 943949120
AddPlayer 672595996 21 7
AddPlayer 1673002647 7 24
AddPlayer 1980661392 2 22
AddPlayer -1 4 19
AddPlayer 130893931 29 19
AddPlayer 931779117 11 20
AddPlayer 1013843037 16 2
ChangePlayerIDScore 1202215858 1
AverageHighestPlayerLevelByGroup 9 -9
AddPlayer 2004068937 6 22
ChangePlayerIDScore 1031649169 15
AddPlayer 1864052238 31 11
AddPlayer 346128262 13 2
AddPlayer 1570071660 19 20
AddPlayer 267619462 15 8
AddPlayer 890988880 14 19
AddPlayer 1159184202 11 5
AddPlayer 167581182 5 1
AddPlayer 637427958 34 17
AddPlayer 410840554 5 14
AddPlayer 960407545 28 17
AddPlayer 695220685 9 4
AddPlayer 600647375 24 2
AddPlayer 1696824329 31 18
AddPlayer 2038259457 11 7
AverageHighestPlayerLevelByGroup 0 137
AddPlayer 227349054 7 2
MergeGroups 12 20
AverageHighestPlayerLevelByGroup 7 5
AddPlayer 1410806311 12 10
AddPlayer 1266759834 1 17
AddPlayer 743527923 27 18
AddPlayer 261623061 2 17
GetPercentOfPlayersWithScoreInBounds 8 3 0 0
AddPlayer 1697576856 1868473255 9
AddPlayer 543548298 0 19
AddPlayer 1447885088 30 -4
AddPlayer 1605611739 388070325 13
AddPlayer 1105759948 3 10
AddPlayer 1407697353 25 4
AddPlayer 995709447 566930041 5
AddPlayer 2113552244 -3 9
AddPlayer 2001707596 2 18
AddPlayer 571817027 33 12
AddPlayer 1665102954 9 7
AverageHighestPlayerLevelByGroup 5 3
GetPercentOfPlayersWithScoreInBounds 0 15 0 0
AddPlayer 1965835894 1 12
AddPlayer 590347769 3 11
AddPlayer 1181658872 30 15
GetPercentOfPlayersWithScoreInBounds 0 13 0 0
AddPlayer 19897677 27 9
AddPlayer 566761168 28 24
AddPlayer 212502718 8 4
MergeGroups 3 0
AddPlayer 912553847 29 18
AddPlayer 1403626793 23 11
AddPlayer 1970711838 12 9
AddPlayer 913310288 9 6
AddPlayer 434094932 34 12
AddPlayer 389730379 1 21
AddPlayer 1011956492 11 5
AddPlayer 1687200291 32 15
AddPlayer 254637887 8 19
AddPlayer -2 3 12
AddPlayer 1962039226 13 24
AddPlayer 399695185 30 2
AddPlayer 962066230 30 22
AddPlayer -4 7 15
AddPlayer 197043586 19 14
AverageHighestPlayerLevelByGroup 9 7
AddPlayer 1309243199 18 18
AddPlayer 2125971407 7 5
AddPlayer 413366394 25 16
AddPlayer 1635764416 18 15
AddPlayer 672166021 -5 13
AddPlayer 161638052 0 21
AddPlayer 897607850 16 19
IncreasePlayerIDLevel 1635764416 9
AddPlayer 1429697591 15 22
AddPlayer 1078800166 7 6
AddPlayer 789346921 23 12
RemovePlayer 1118939175
AddPlayer 55566476 24 17
AddPlayer -1 3 12
AddPlayer 1619121893 34 24
AddPlayer 1103129503 7 20
AddPlayer 2069194104 33 11
