Init 7 165
AddPlayer 1489070642 6 20
AddPlayer 1761656365 4 116
AddPlayer 1489070642 7 129
AddPlayer 781242400 7 29
AddPlayer 885869245 2 85
AddPlayer 220804116 5 58
AddPlayer 1560045804 1 69
AddPlayer 1084627116 6 1
AddPlayer 1272344163 1 153
AddPlayer 1909115639 5 36
AddPlayer 144285523 7 77
AddPlayer 307626122 3 127
AddPlayer 1708358765 3 139
AddPlayer 2083536236 4 8
AddPlayer 1229032734 6 146
AddPlayer 1272344163 4 87
AddPlayer 1813344403 1 138
AddPlayer 811471062 3 71
AddPlayer 1647624530 6 -9
AddPlayer 112090460 3 112
RemovePlayer 781242400
AddPlayer 1043910805 4 5
AddPlayer 2035236219 2 98
AddPlayer 1583325577 4 22
AddPlayer 255797828 4 66
AddPlayer 1560045804 5 37
AddPlayer 961574980 5 64
AddPlayer 0 2 122
AddPlayer 492679876 7 10
AddPlayer 1977516600 4 153
AddPlayer 739070669 5 68
AddPlayer 492679876 4 96
AddPlayer 2026501869 7 89
AddPlayer 1580005140 4 86
AddPlayer 1042955177 5 44
AddPlayer 2039329821 4 33
AddPlayer 1079084541 4 95
AddPlayer 1825225089 -4 2
AddPlayer 1580005140 1 80
AddPlayer 1975105769 7 105
AddPlayer 1989068944 3 134
AddPlayer 1229032734 1 132
AddPlayer 1363867950 5 105
AddPlayer 991142362 7 61
AddPlayer 967538538 7 14
AddPlayer 1021862987 4 53
AddPlayer 571896527 7 158
AddPlayer 504716499 5 112
MergeGroups 5 5
AddPlayer 1018359397 5 114
AddPlayer 1329386896 6 87
AddPlayer 1611707802 2 84
AddPlayer 1647675070 2 52
AddPlayer 509485415 6 1737927385
AddPlayer 736772369 5 7
AddPlayer 154737005 7 157
AddPlayer 461257962 4 126
AddPlayer 1801134186 1 116
AddPlayer 1554347025 5 -9
AddPlayer 798594223 4 133
AddPlayer 984073176 2 957071780
AddPlayer 1514435463 4 138
AddPlayer 1196981380 4 45
AddPlayer 1970293610 2 101
AddPlayer 961574980 7 13
AddPlayer 1363867950 5 38
AddPlayer 1632497488 5 80
AddPlayer 324056430 7 84
AddPlayer 106716918 7 142
AddPlayer 892746763 2 40
AddPlayer 1562062639 4 160
AddPlayer 1334630465 7 58
AddPlayer 1243145366 6 117
AddPlayer 691710752 5 89
AddPlayer 1525795724 1 117
IncreasePlayerIDLevel 1583325577 5
AddPlayer 1632497488 2 79
AddPlayer 1245840010 5 127
AddPlayer 982946602 3 103
AddPlayer 1977516600 4 41
AddPlayer 1966005121 5 139
AddPlayer 349933417 3 147
AddPlayer 1098206599 7 99
AddPlayer 1098206599 5 121
AddPlayer 454175490 2 139
AddPlayer 617472152 -10 126
AddPlayer 1965136872 7 87
AddPlayer 560786527 2 122
AddPlayer 1966445766 2 104
AddPlayer 679822587 2 30
AverageHighestPlayerLevelByGroup 6 1
AddPlayer 420288287 6 102
AddPlayer 1452032550 1 131
AverageHighestPlayerLevelByGroup 0 59
AddPlayer 1579524940 4 118
AddPlayer 1514435463 7 33
AddPlayer 2104830319 1 11
AddPlayer 1289261505 2 131
AverageHighestPlayerLevelByGroup 0 52
AddPlayer 1646761211 4 159
AddPlayer 184541682 5 99
AddPlayer 251281282 1 100
AddPlayer 114244714 7 158
AddPlayer 918070609 4 110
AddPlayer 399294000 2 79
AddPlayer 1043910805 5 23
AddPlayer 474315045 7 106
AddPlayer 701985682 4 95
AddPlayer 1925154282 4 59
AddPlayer 129295768 -2 118
AddPlayer 1017638570 5 42
AddPlayer 1482122132 6 43
AddPlayer -9 7 137
AddPlayer 1063048028 1 81
AddPlayer 116909748 6 87
RemovePlayer 1243145366
AddPlayer 1388049753 5 -4
AddPlayer 379895500 -5 158
AddPlayer 1320079829 3 31
AddPlayer -8 6 97
RemovePlayer 184541682
RemovePlayer 701985682
AddPlayer 813100372 7 22
MergeGroups 4 2
AddPlayer 2085575284 3 89
AddPlayer 662808249 5 58
AddPlayer 701943758 4 72
AddPlayer 1152727568 4 139
RemovePlayer 1583325577
AddPlayer 1741715229 7 28
AddPlayer 1280590819 3 97
AddPlayer 305341145 3 17
AddPlayer 2132019704 3 54
AddPlayer 1017638570 4 153
AddPlayer 869139454 1 125
AddPlayer 1032235479 4 139
AddPlayer 969541217 1 27
AddPlayer 1450657225 5 -3
AddPlayer 34024314 6 66
AddPlayer 279091092 234950334 27
AddPlayer 1489070642 4 87
AddPlayer 1865435010 4 152
AddPlayer 1273105786 5 38
AddPlayer 508876218 2 127
AddPlayer 2138026194 7 112
AddPlayer 2038476129 5 62
AddPlayer 1739164083 1 98
MergeGroups 7 3
AddPlayer 1003625720 1 135
AddPlayer 2005218219 6 28
AddPlayer 1931216590 7 50
AddPlayer 120458011 5 66
AddPlayer 993312864 5 105
AddPlayer 1649328295 3 102
GetPercentOfPlayersWithScoreInBounds 4 152 0 0
GetPercentOfPlayersWithScoreInBounds 4 28 0 0
AddPlayer 878583109 4 45
AddPlayer 585319002 7 3
AddPlayer 992440439 5 26
AddPlayer 233496566 5 163
AddPlayer 88423763 6 73
AddPlayer 888518266 4 161
AddPlayer 2003530065 7 128
AverageHighestPlayerLevelByGroup 0 111
IncreasePlayerIDLevel 1975105769 4
AddPlayer 1618760455 3 164
AddPlayer 1622849756 4 79
AddPlayer 1329828609 6 156
AddPlayer 102974989 5 14
AddPlayer 310990477 4 155
AddPlayer 643529189 2 60
AddPlayer 978208867 5 80
AddPlayer 1437073694 3 54
AddPlayer 500117097 5 159
AddPlayer 1802349454 1 121
AddPlayer 1038932649 4 34
AddPlayer 1817462957 6 5
ChangePlayerIDScore 2138026194 141
AddPlayer 1343318732 3 55
AddPlayer 1725134968 3 14
AddPlayer 1517181890 6 120
MergeGroups 1 1
AddPlayer 1166511325 4 125
AddPlayer 1285318294 2 127
AddPlayer 909953357 5 96
RemovePlayer 869139454
AddPlayer 7584344 2 135
AddPlayer 119504984 1 60
AddPlayer 1543799869 3 27
AddPlayer 649268056 2 14
AddPlayer 460323245 7 21
AddPlayer 679822587 2 83
AverageHighestPlayerLevelByGroup 0 110
AddPlayer 371188361 7 133
AddPlayer -4 2 131
AddPlayer 1083923248 4 155
GetPercentOfPlayersWithScoreInBounds 2 66 0 0
AddPlayer 1730790126 3 63
AddPlayer 522175963 1 126
GetPercentOfPlayersWithScoreInBounds 0 14 0 0
AddPlayer 1553393381 1 152
AddPlayer 345333719 1 108
AverageHighestPlayerLevelByGroup 5 21
AddPlayer 842226463 3 103
AddPlayer 400323903 5 1
AddPlayer 774538483 3 31
AddPlayer 1941797987 1 75
AddPlayer 856342103 7 134
RemovePlayer -2
AddPlayer 225864632 5 52
AddPlayer 1977516600 2 93
