Init 54 15
AddPlayer 982335244 50 13
AddPlayer 1272502967 45 1
AddPlayer 540941598 41 13
AddPlayer 72667504 51 14
AddPlayer 1066980723 53 6
AddPlayer 1908898096 43 7
AddPlayer 801170035 0 12
AddPlayer 1263860867 20 1
AddPlayer 1179372779 20 4
AddPlayer 62368231 -4 5
AddPlayer 271001225 7 6
AddPlayer 10687213 46 7
AddPlayer 588394052 14 10
AddPlayer 1960413764 48 6
AddPlayer 588394052 2 4
AddPlayer 1765502575 10 13
AddPlayer 414798961 638630645 15
AddPlayer 588394052 32 4
AddPlayer 1445488032 41 2
AddPlayer 2140242255 42 14
AddPlayer 922468305 3 5
AddPlayer 1448186457 50 10
AddPlayer 44249586 3 465659966
AddPlayer 654129011 31 11
AddPlayer 248451832 2 14
AddPlayer 774115686 21 15
AddPlayer 542989134 3 12
AddPlayer 588394052 25 7
AddPlayer 443505649 20 -9
AddPlayer 304154494 27 2
AddPlayer 2079357770 9 7
AddPlayer 101604378 45 15
AddPlayer 1901737154 42 3
AddPlayer 1951483681 11 10
AddPlayer 1833393068 14 7
AddPlayer 164130218 14 5
AddPlayer 890677680 52 9
AddPlayer 1807853582 43 14
AddPlayer 737354074 23 13
AddPlayer 2116124940 15 11
AddPlayer 813198521 44 4
AddPlayer 379637093 22 5
AddPlayer 1271119793 30 3
AddPlayer 1727125691 18 15
AddPlayer 814443573 6 3
AddPlayer 1726113891 54 11
AddPlayer 691874893 39 2
AddPlayer 5858162 27 2
AddPlayer 2138919615 44 10
AddPlayer 2146086582 25 13
AddPlayer 1690109229 28 6
MergeGroups 29 29
AddPlayer 866979613 45 10
AddPlayer 1966175473 23 5
AddPlayer 1272502967 25 7
AddPlayer 1481963146 3 3
AddPlayer 1726113891 48 5
AddPlayer 603282548 26 11
AddPlayer 1831225059 -1 9
AddPlayer -8 39 12
AddPlayer 814443573 24 5
AddPlayer 1693323543 52 10
AddPlayer 11583937 53 12
AddPlayer 1066980723 2 8
AddPlayer 10687213 21 9
AddPlayer 1796731546 39 3
AddPlayer 1131112551 48 4
AddPlayer 155003173 1 5
AddPlayer 1347932225 39 5
AddPlayer -3 4 1
AddPlayer 306232169 1 9
AddPlayer 448653152 9 6
