Init 29 70
AddPlayer 1809492033 17 23
AddPlayer 1671416179 8 53
AddPlayer 257533034 27 50
AddPlayer 1493882043 16 24
AddPlayer 1210996052 24 13
AddPlayer 1565077791 26 34
AddPlayer 1010446855 25 13
AddPlayer 1362132510 13 14
AddPlayer 854152586 14 52
AddPlayer 1246942198 2 11
AddPlayer 897271509 12 47
AddPlayer 1848259678 26 11
AddPlayer 854152586 11 48
AddPlayer 1531553115 8 47
AddPlayer 840125989 13 45
AddPlayer 1215599966 23 18
AddPlayer 2056332831 1164591081 19
AddPlayer 618212611 19 18
AddPlayer 942845367 25 4
AddPlayer 1971088996 7 61
AddPlayer 1460547103 24 32
AddPlayer 1460547103 10 6
AddPlayer -6 11 22
AddPlayer 280312453 6 13
AddPlayer 325725338 6 67
GetPercentOfPlayersWithScoreInBounds 23 44 0 0
AddPlayer 1269112916 15 64
AddPlayer 450790002 15 15
AddPlayer 1237409482 10 70
AddPlayer 1789298140 8 13
AddPlayer 1921701997 14 30
AddPlayer 549753535 21 14
AddPlayer 757234469 27 52
AddPlayer 388156048 13 64
AddPlayer 1316284356 22 13
AddPlayer 176100029 19 54
AddPlayer -10 27 3
AddPlayer 1179814272 22 6508364
AddPlayer 1120376150 1190425262 65
AddPlayer -3 28 58
AddPlayer 841221779 19 41
AddPlayer 1454282144 9 64
AddPlayer 1925561092 10 30
AddPlayer 1892734084 11 48
AddPlayer 664691788 20 49
AddPlayer 1787795937 28 29
AddPlayer 2080701292 19 32
AddPlayer 1372257618 24 30
AddPlayer 1303941790 1069419026 36
AddPlayer 2092465678 28 56
AddPlayer 1694149412 23 69
AddPlayer 1839886785 22 62
AddPlayer 1468762960 110322900 25
AddPlayer 929685479 23 47
AddPlayer 1150486132 2 4
AddPlayer 546711513 14 48
AddPlayer 1454282144 21 53
AddPlayer 782533039 18 59
AddPlayer 1568944978 15 60
AddPlayer 488372127 29 24
AddPlayer 542598493 18 28
AddPlayer 113406123 17 55
AddPlayer 1306334163 7 16
AddPlayer 1023239697 14 63
AddPlayer 1303829662 28 58
AddPlayer 312028566 22 1646737541
AddPlayer 1001122140 20 25
AddPlayer -2 9 52
AddPlayer 1474940662 5 25
AddPlayer 1942667145 6 67
AddPlayer 1303829662 21 11
AddPlayer 1507616015 26 50
AddPlayer 1791841507 1 62
AddPlayer 21161605 27 69
AddPlayer 282044949 25 9
AddPlayer 1496974087 9 30
GetPercentOfPlayersWithScoreInBounds 0 62 0 0
AddPlayer 1428899614 1 48
AddPlayer 756340479 6 29
AddPlayer 235467239 15 39
ChangePlayerIDScore 942845367 66
AddPlayer 618212611 21 22
AddPlayer 1298864431 22 58
AddPlayer 1167336081 4 13
AddPlayer 2016181979 24 52
AddPlayer 295085230 26 47
AddPlayer 977032082 22 46
AddPlayer 295085230 10 22
AddPlayer 625501273 18 6
AddPlayer 473524299 23 48
AddPlayer 1406022185 12 2
AddPlayer 1031163119 27 7
AddPlayer 176100029 28 59
AddPlayer 36800164 11 46
AddPlayer 1812670147 6 54
AddPlayer 388156048 15 61
AddPlayer 289283410 20 20
AddPlayer 2053987090 27 50
AddPlayer 1996268567 5 23
AddPlayer 1363411982 14 28
AddPlayer 1067603963 24 68
AddPlayer 276146527 18 12
AddPlayer 908532216 11 40
AddPlayer 605060875 6 690529287
IncreasePlayerIDLevel 473524299 2
AddPlayer 1950010039 5 69
AddPlayer 867374185 17 11
AddPlayer 1625745500 14 58
ChangePlayerIDScore 1789298140 25
AddPlayer 1122938527 27 8
AddPlayer 1646088741 2 65
AddPlayer 7901749 27 11
AddPlayer 750219258 25 24
AddPlayer 1219215248 12 66
AddPlayer 782533039 23 32
AddPlayer 1456015685 14 10
AddPlayer 1109859214 24 48
AddPlayer 383414256 11 27
AddPlayer 1641126665 21 20
AddPlayer 1804710872 4 22
ChangePlayerIDScore 1031163119 39
AddPlayer 1130973339 2 8
AddPlayer 1109859214 23 56
AddPlayer 1099294780 20 1331768429
AddPlayer 1460755125 1 50
IncreasePlayerIDLevel 1501689678 6
AddPlayer 229836949 1 33
AddPlayer 490560904 6 54
AddPlayer 825376981 24 66
AddPlayer 1730711706 17 0
AddPlayer 763635134 7 52
AddPlayer -9 16 67
AddPlayer 805466959 28 46
AddPlayer 339990817 10 40
AddPlayer 552081400 9 53
AddPlayer 371147171 14 38
AddPlayer 2141234638 16 37
AddPlayer 2002094549 7 7
AddPlayer 414714670 25 50
AddPlayer 115249762 24 43
AddPlayer 1694149412 27 31
AddPlayer 288621778 9 46
AddPlayer 1516158694 21 35
AddPlayer 1350559495 18 69
IncreasePlayerIDLevel 1306334163 7
AddPlayer 1624992570 23 55
AddPlayer 869719062 3 34
AddPlayer 1820792690 2 34
AddPlayer 354521558 29 9
AddPlayer 2051557828 26 69
AddPlayer 1493882043 10 35
AddPlayer 1160911355 1365861818 6
AddPlayer 1926518322 23 41
AddPlayer 2071709374 9 46
AddPlayer 1668904472 8 24
AddPlayer 332416571 26 -7
IncreasePlayerIDLevel 1219215248 5
AddPlayer 1502526562 26 29
AddPlayer 929685479 5 63
