Init 81 192
AddPlayer 1248019548 27 158
AddPlayer 250000422 29 111
AddPlayer 1759971205 24 107
AddPlayer 1019927789 26 1840671454
AddPlayer 956473067 76 32
AddPlayer 417627342 13 62
AddPlayer 478901575 62 104
AddPlayer 511834414 20 86957758
AddPlayer 401163342 63 147
AddPlayer 1419376433 2 116
IncreasePlayerIDLevel 127599491 5
AddPlayer 812527456 35 188
AddPlayer -9 17 109
AddPlayer 401163342 22 100
AddPlayer 160980440 33 81
AddPlayer 2078815581 63 15
AddPlayer 1309759763 51 133
AddPlayer 343701426 78 1
AddPlayer 95307052 41 55
AddPlayer 966558363 38 21
AddPlayer 1044852731 13 631600786
AddPlayer 1843938826 16 20
AddPlayer 1281300533 47 64
AddPlayer 956473067 70 149
AddPlayer 462217684 8 89
AddPlayer 163582303 -4 145
AddPlayer 1095184621 74 152
AddPlayer 187569063 48 155
MergeGroups 46 67
AddPlayer 1280878082 69 176
AddPlayer 1911862123 25 40
AddPlayer 1907121250 41 181
AddPlayer 1452580547 10 23
AddPlayer 1753896426 39 88
AddPlayer 2058576614 50 93
AddPlayer 1354740955 29 188
AddPlayer 1925197538 46 40
AddPlayer 681071428 20 49
AddPlayer 1346893030 14 162
AddPlayer 1114874384 55 36
AddPlayer 1963111186 52 105
AddPlayer 537423829 40 184
AddPlayer 470137821 52 64
AddPlayer 2079147134 50 25
AddPlayer 2101900551 41 155
AddPlayer 1134509735 41 71
AddPlayer 2121299700 20 37
AddPlayer 1910862185 66 47
AddPlayer 1077729153 63 114
AddPlayer 1976592343 16 1496528641
AddPlayer 713648077 65 96
AverageHighestPlayerLevelByGroup 76 1
AddPlayer 2121211063 3 118
AddPlayer 1045707555 3 129
AddPlayer 2070792316 6 142
AddPlayer 554826846 77 177
AddPlayer 689402547 19 175
AddPlayer 1419376433 53 99
AddPlayer 1922796124 64 136
AddPlayer 465589474 65 60
AddPlayer 1244966242 26 111
AddPlayer 1134509735 38 93
AddPlayer 562500615 81 91
AddPlayer -7 15 82
AddPlayer 99863526 75 34
AddPlayer 1973546887 59 70478039
AddPlayer 1170385984 81 183
AddPlayer 1132889084 38 174
AddPlayer 780933041 28 68
AddPlayer 1482218651 41 170
AddPlayer 1279135258 70 36
AddPlayer 1226716161 73 8
AddPlayer 1753896426 67 119
AddPlayer 2042724105 15 108
AddPlayer 657179499 8 92
AddPlayer 53136401 81 60
AddPlayer 836141661 9 41
AddPlayer 16500774 73 89
AddPlayer 1179732358 4 192
AddPlayer 242312990 76 103
AddPlayer 364275972 56 28
AddPlayer 1279135258 65 82
AddPlayer 248815729 61 63
AddPlayer 676069346 25 29
AddPlayer 88402603 5 170
AddPlayer 1482218651 65 165
