Init 88 98
AddPlayer 2103317057 70 42
AddPlayer 80928969 68 71
AddPlayer 1542464226 35 32
AddPlayer 1542464226 47 70
AddPlayer 369851872 35 89
AddPlayer 1542464226 26 58
AddPlayer 345865173 67 77
AddPlayer 58118688 79 76
AddPlayer 1208610469 73 60
AddPlayer 2112634633 40 66
AddPlayer 1996834279 49 84
AddPlayer 1822619245 85 41
AddPlayer 2061766616 18 27
AddPlayer 155157246 31 16
AddPlayer 1923483552 41 69
AddPlayer 345865173 22 14
AddPlayer 916696745 49 45
AddPlayer 99825847 35 62
AddPlayer 1809768133 10 77
AddPlayer 216335683 15 85
AddPlayer 683577924 43 89
AddPlayer 58118688 42 79
AddPlayer 20871105 38 72
AddPlayer 133959051 43 87
AddPlayer 1164445173 22 90
AddPlayer 830191683 32 90
AddPlayer 1587668136 53 11
AddPlayer 91957956 40 0
AddPlayer 500852361 43 30
AddPlayer 369724006 67 93
AddPlayer 1887886326 31 60
IncreasePlayerIDLevel 64179095 6
AddPlayer 1613399466 39 68
AddPlayer 2122687969 66 32
AddPlayer 37524429 29 25
AddPlayer 1616036526 75 9
AddPlayer 683577924 60 66
AddPlayer 816908868 33 63
AddPlayer 546266615 46 59
AddPlayer 1642423977 5 28
AddPlayer 369851872 59 6
AddPlayer 671480463 37 24
AddPlayer 2103317057 79 69
AddPlayer 105389077 -2 37
AddPlayer 1616036526 24 43
AddPlayer 80928969 49 9
AddPlayer 1869355089 1 94
AddPlayer 2122687969 15 22
AddPlayer 1503892885 16 61
AddPlayer 1998913115 28 15
AddPlayer 2068515623 32 76
AddPlayer 1308478240 25 11
AddPlayer 1651731656 62 44
AddPlayer 77706625 44 55
AddPlayer 1318043397 10 67
AddPlayer 369851872 27 65
AddPlayer 1806325920 40 2
AddPlayer 718637617 45 98
AddPlayer 947182712 53 58
AddPlayer 336823122 34 1897580784
AddPlayer 4372048 20 26
AddPlayer 1032184907 24 86
AddPlayer 1039237169 7 86
AddPlayer 687682791 78 30
AddPlayer 194007527 5 95
ChangePlayerIDScore 1651731656 55
AddPlayer 807080624 8 1653646990
AddPlayer 1884061072 83 34
AddPlayer -5 50 40
AddPlayer 173644370 49 90
AddPlayer 1613399466 38 40
AddPlayer 718768362 26 7
AddPlayer 930891934 19 0
AddPlayer 1066634061 -2 88
AddPlayer 2145487515 85 75
AddPlayer 968186383 29 1073869626
AddPlayer 1542464226 86 88
AddPlayer 808593069 81 75
AddPlayer -8 3 65
AddPlayer 1460307443 66 29
AddPlayer 725145021 83 15
RemovePlayer 687682791
AddPlayer 1133617385 6 61
AddPlayer 1341821105 58 14
AddPlayer 694841749 43 23
AddPlayer 547951162 32 30
AddPlayer 800094132 28 85
AddPlayer 216335683 78 17
AddPlayer 1503892885 61 96
AddPlayer 1923483552 36 8
AddPlayer 992085198 82 6
AddPlayer 2056700929 56 33
AddPlayer -10 57 53
AddPlayer 1196867406 15 70
AddPlayer 514607573 -8 33
AddPlayer 1452707698 29 22
AddPlayer 1513757118 53 66
AddPlayer 640827479 34 460849337
AddPlayer 690676078 31 16
AddPlayer 1460307443 38 78
AddPlayer 1378523597 84 19
AddPlayer 1546478148 62 48
AddPlayer 1071032818 23 23
AddPlayer 1810082666 362341547 23
AddPlayer 1805718511 27 41
AddPlayer 2002972114 23 31
AddPlayer 1044716963 -3 77
AddPlayer 1020801668 26 55
AddPlayer 1074465653 24 56
AddPlayer 848004636 13 2
AddPlayer 438937671 41 3
AddPlayer 794872928 54 52
AddPlayer 731561979 60 77
AddPlayer 1817536292 18 49
AddPlayer 1755520166 44 484712118
AddPlayer 1161306181 10 74
AddPlayer 1414517286 42 8
AddPlayer 305870730 33 6
IncreasePlayerIDLevel 830191683 3
AddPlayer 238738624 36 87
AddPlayer 288395993 46 98
AddPlayer 800443788 23 32
AddPlayer 1817536292 63 10
AddPlayer 1284972994 60 78
AddPlayer 525772062 61 56
AddPlayer 1741035817 63 69
AddPlayer 828077591 61 88
AddPlayer 1655903661 67 14
AddPlayer 1548731498 26 80
AddPlayer 1195693961 41 55
AddPlayer 2090090760 81 11
AddPlayer 1387430992 -3 23
AddPlayer -10 78 23
AddPlayer 942905328 17 62
AddPlayer 488346947 86 38
AverageHighestPlayerLevelByGroup 82 1
AverageHighestPlayerLevelByGroup 0 70
AddPlayer 1932774455 49 281442876
AddPlayer 1503678146 72 30
AddPlayer 1869207758 6 8
ChangePlayerIDScore 1655903661 20
AddPlayer 1022954806 41 74
AddPlayer 270738497 77 1133986761
RemovePlayer 1842386316
AddPlayer 1194623610 23 79
IncreasePlayerIDLevel 238738624 -4
AddPlayer 1279509410 87 66
AddPlayer 1094519099 67 15
AddPlayer 1205423004 63 16
AddPlayer 1058752894 7 94
AddPlayer 538763208 32 89
AddPlayer 338772502 26 61
AddPlayer 1883229393 41 98
AddPlayer 1499672104 48 50
ChangePlayerIDScore -1 3
AddPlayer 907147899 9 25
AddPlayer 1246907789 58 84
AddPlayer 734780926 72 44
AddPlayer 763776366 39 86
AddPlayer 126333287 40 -2
AddPlayer 688356283 15 22
AddPlayer 1314207874 15 44
AddPlayer 1822619245 26 26
AddPlayer 2140801698 5 30
AddPlayer 338772502 74 93
AddPlayer 760513403 16 28
AddPlayer 332012167 19 47
AddPlayer 476585748 30 90
AddPlayer 1359309938 22 7
AddPlayer 879862436 1225324533 40
GetPercentOfPlayersWithScoreInBounds 0 90 3 3
AddPlayer 620068601 18 59
AddPlayer 907147899 15 50
AddPlayer 1428777194 7 64
AddPlayer 1475346672 37 90
AddPlayer 176651235 22 37
AddPlayer 1865836533 85 33
AddPlayer 5949008 49 45
AddPlayer 125568728 30 94
AddPlayer 595410964 64 53
AddPlayer 2043691637 15 89
AddPlayer 933491865 85 52
AddPlayer 26986847 30 17
AddPlayer 206284020 66 47
AddPlayer 1277178490 18 18
ChangePlayerIDScore 369851872 21
AddPlayer 1091988339 12 11
AddPlayer 947350790 80 28
AddPlayer 456499665 44 79
AddPlayer 2040687682 -2 71
AddPlayer 1195693961 65 83
AddPlayer 1765881599 53 79
AddPlayer 185700708 22 21
AddPlayer 799448491 81 90
AddPlayer 1160054217 17 16
AddPlayer 1263192036 9 41
AddPlayer 526799261 74 67
AddPlayer 1280502436 57 34
AddPlayer 527621607 11 20
AddPlayer 1026004838 29 28
AddPlayer 259887600 63 65
AddPlayer -2 47 96
AddPlayer 1183235734 3 12
AddPlayer 1255297854 41 83
AddPlayer 858730571 17 17
AddPlayer 927768747 12 18
AddPlayer 231622082 71 36
AddPlayer 608778550 -9 67
AddPlayer 1193419266 49 65
AddPlayer 1130359216 47 13
AddPlayer 1420756165 12 73
AddPlayer 4234461 1536746432 34
AddPlayer 1655829050 21 60
AddPlayer 815342581 65 30
AddPlayer 286934250 28 37
AddPlayer 1865836533 24 81
AddPlayer 821731110 384813061 15
AddPlayer 1510054738 19 7
AddPlayer 1806325920 38 59
AddPlayer 14422532 -5 80
AddPlayer 296744469 32 19
AddPlayer 2003498059 38 5
AddPlayer 1068092171 19 7
AddPlayer 1063253845 14 2
AddPlayer 1428416724 71 46
AddPlayer 2058273863 63 69
AddPlayer 1395996837 48 38
AddPlayer 1306561596 21 25
AddPlayer 936647567 82 42
AddPlayer 1128403943 52 -4
AddPlayer 869001036 38 53
AddPlayer 914762627 33 44
AddPlayer 1196867406 7 89
AddPlayer 642919740 86 84
AddPlayer 1922386485 42 23
AddPlayer 333737367 966127385 66
GetPercentOfPlayersWithScoreInBounds 47 33 0 0
AddPlayer 1074465653 51 94
AddPlayer 556967339 14 17
AddPlayer 1144557283 61 69
AddPlayer 988594475 85 48
AddPlayer 1799611747 60 22
AddPlayer 1287465986 63 58
AddPlayer 591945102 77 71
AddPlayer 753197995 12 29
RemovePlayer 546266615
AddPlayer 465731331 53 33
RemovePlayer 572436801
RemovePlayer 194007527
AddPlayer 1734652346 71 20
AddPlayer 204981568 85 88
AddPlayer 2110131710 22 63
MergeGroups 2 18
AddPlayer 1724723937 69 94
AddPlayer 162020664 40 80
RemovePlayer 369851872
ChangePlayerIDScore 1503678146 97
AddPlayer 1332658972 55 18
AddPlayer 559410174 71 41
AddPlayer 1124813259 73 65
AddPlayer 863386604 78 89
MergeGroups 78 12
AddPlayer 2006555686 72 24
AddPlayer 301036505 33 27
AddPlayer 2121472153 13 18
AddPlayer 2090246316 65 26
AddPlayer 86053241 16 28
AddPlayer 1875866001 10 86
AddPlayer 1161556794 47 45
AddPlayer 1307637025 62 10
AddPlayer 893725129 71 61
AddPlayer 1883229393 38 39
AddPlayer 1575215664 54 3
AddPlayer 67339422 83 56
AddPlayer 1068831726 29 39
AddPlayer 1690805818 48 90
AddPlayer 1364539226 17 78
AddPlayer 763979290 36 20
AddPlayer 2112565372 62 89
AddPlayer 0 86 89
ChangePlayerIDScore -8 20
GetPercentOfPlayersWithScoreInBounds 18 18 0 0
AddPlayer 1170452359 51 55
AddPlayer 1857122838 20 21
AddPlayer 1403557849 31 98
ChangePlayerIDScore 1029776295 73
AddPlayer 1252092459 28 42
AddPlayer 2041074527 1 15
AddPlayer 1641960210 56 46
AddPlayer 495486092 5 25
AddPlayer 14627686 74 97
GetPercentOfPlayersWithScoreInBounds 0 69 0 0
AddPlayer 1489823929 36 -4
RemovePlayer 1998913115
AddPlayer 2001461677 31 62
AddPlayer 169136181 2 29
GetPercentOfPlayersWithScoreInBounds 0 4 0 0
AddPlayer 221523243 29 85
AddPlayer 389155532 69 64
AddPlayer 1020594099 5 56
AddPlayer 1078997228 51 23
AddPlayer 1215282954 22 19
AddPlayer 189734803 61 84
MergeGroups 10 6
AddPlayer -6 51 44
AddPlayer 1363012459 72 17
AddPlayer 1846852370 19 25
AddPlayer 1073930615 41 44
AddPlayer 1750674223 5 1
AddPlayer 240740617 74 19
GetPercentOfPlayersWithScoreInBounds -2 86 0 0
AddPlayer 526838716 27 80
ChangePlayerIDScore 683577924 54
IncreasePlayerIDLevel 1164445173 1
AddPlayer 1321646067 30 40
AddPlayer 1292194405 23 48
AddPlayer 402068789 1 85
IncreasePlayerIDLevel 1094519099 4
IncreasePlayerIDLevel 544897076 2
AddPlayer 1811391402 58 39
AddPlayer 1142904252 63 47
AddPlayer 2123149519 33 2
AddPlayer 1205423004 58 89
AddPlayer 976770947 62 1
AddPlayer 817885358 64 76
AddPlayer 794872928 20 62
AddPlayer 1031976410 86 65
AddPlayer 126898889 86 33
RemovePlayer 1263192036
AddPlayer 2062280047 80 81
AddPlayer 2121902604 84 20
GetPercentOfPlayersWithScoreInBounds 73 60 0 0
AverageHighestPlayerLevelByGroup -8 1
AddPlayer 1399721728 58 17
AddPlayer 1582741259 66 51
AddPlayer 869056605 65 22
AddPlayer 855761228 65 50
AddPlayer 1250610993 75 918687957
RemovePlayer 2112565372
IncreasePlayerIDLevel 1332658972 7
AddPlayer 938881833 73 98
AddPlayer 916422157 79 45
AddPlayer 2114545279 69 67
IncreasePlayerIDLevel 1074465653 8
AddPlayer 1520296293 36 10
AddPlayer 943841809 41 27
AddPlayer 1285126936 49 47
AddPlayer 112617808 24 46
GetPercentOfPlayersWithScoreInBounds 39 68 0 0
ChangePlayerIDScore 1031976410 65
MergeGroups 18 72
AddPlayer 794872928 21 46
AddPlayer 941899682 16 22
AddPlayer 300101485 17 8
AddPlayer 343959147 58 76
AddPlayer 1706465543 71 94
AddPlayer 1260103124 28 29
AddPlayer 1941967289 56 93
RemovePlayer 1575215664
IncreasePlayerIDLevel 1142904252 5
AddPlayer 671480463 61 92
AddPlayer 1090435850 68 46
AddPlayer 2029495588 10 272620484
IncreasePlayerIDLevel 538763208 3
AddPlayer 1402731420 13 12
AddPlayer 1536883233 32 48
RemovePlayer 1548731498
AddPlayer 935740899 82 -2
AddPlayer 897827436 82 27
ChangePlayerIDScore 869056605 52
MergeGroups -10 70
AddPlayer 1018087480 54 15
AddPlayer 1987008516 87 17
AddPlayer 997781122 76 4
AddPlayer 357864058 74 22
AddPlayer 1117670818 9 89
AddPlayer 0 59 81
AddPlayer 923771738 8 4
RemovePlayer 1159543146
AddPlayer 232157989 81 69
AddPlayer 1144557283 75 77
IncreasePlayerIDLevel 1613399466 9
IncreasePlayerIDLevel 683577924 5
GetPercentOfPlayersWithScoreInBounds 56 33 0 0
RemovePlayer 5949008
AddPlayer 1351856182 57 9
AddPlayer 882772294 25 49
AddPlayer 2033966306 55 58
AddPlayer 817885358 53 37
AddPlayer 1305076147 8 67
AddPlayer 1155199146 51 43
AddPlayer 1475346672 79 65
AddPlayer 1757466219 9 85
AddPlayer 1271292938 37 49
AddPlayer 850880539 18 94
RemovePlayer 2062280047
AddPlayer 685776369 8 50
AddPlayer 98376309 77 92
AddPlayer 830267975 31 28
AddPlayer 1640688811 3 29
AddPlayer 1918029718 3 37
AddPlayer 188866058 -5 71
AddPlayer 999067880 84 54
AddPlayer 959271771 34 47
AddPlayer 1201396531 22 98
AddPlayer 1414926140 75 60
AddPlayer 1955436591 81 -3
AddPlayer 2065299548 76 45
AddPlayer 1516533058 23 51
AddPlayer 1402731420 57 84
AddPlayer 435666934 6 54
AddPlayer 795887177 84 90
ChangePlayerIDScore 482458595 28
AddPlayer 2027863483 9 64
GetPercentOfPlayersWithScoreInBounds 18 94 0 0
AddPlayer 277204074 14 74
AddPlayer 1650275149 23 41
AddPlayer 382726306 6 11
AddPlayer 1604744546 714037828 43
AddPlayer 1811541531 72 53
AddPlayer 1651731656 87 20
AddPlayer 1321880930 15 36
AddPlayer 178740767 16 48
IncreasePlayerIDLevel 1359309938 8
AddPlayer 1155446900 58 96
MergeGroups 60 43
AddPlayer 987494220 9 84
AddPlayer 2061766616 53 42
AddPlayer 1100374548 22 49
AddPlayer 940272199 76 35
ChangePlayerIDScore 0 80
AddPlayer 365877525 57 55
RemovePlayer 897827436
GetPercentOfPlayersWithScoreInBounds 0 26 0 0
AddPlayer 1590359685 12 97
RemovePlayer 2092724241
AddPlayer 1858323712 57 77
MergeGroups 57 53
AddPlayer 370601855 16 71
AddPlayer -8 62 58
AddPlayer 1599693903 43 83
AddPlayer 1121191367 8 90
GetPercentOfPlayersWithScoreInBounds 0 56 0 0
MergeGroups 53 70
AddPlayer 742730764 6 67
AddPlayer 4877973 30 83
AddPlayer 554093480 59 12
AddPlayer 1923470615 51 90
AddPlayer -8 31 47
ChangePlayerIDScore 527621607 8
AddPlayer 773566148 46 30
MergeGroups 40 53
AddPlayer 139139103 36 62
RemovePlayer 26986847
AverageHighestPlayerLevelByGroup 0 141
ChangePlayerIDScore 585443888 78
AddPlayer 1503378212 31 68
RemovePlayer 336501569
AddPlayer 237395277 10 19
ChangePlayerIDScore 1117670818 35
AddPlayer 1697206305 55 35
AverageHighestPlayerLevelByGroup 0 184
GetPercentOfPlayersWithScoreInBounds 51 73 0 0
AddPlayer 341406692 44 82
AddPlayer 27591691 -4 4
AddPlayer 2914398 54 71
IncreasePlayerIDLevel 1018087480 7
IncreasePlayerIDLevel 369724006 6
AddPlayer 1854031925 36 70
AddPlayer 911672974 17 -6
AddPlayer 4877973 11 44
AddPlayer 1569907167 69 83
MergeGroups 81 86
AddPlayer 271661091 62 47
AddPlayer 25013692 82 89
AddPlayer 734107314 80 12
MergeGroups 2 26
MergeGroups 65 0
AverageHighestPlayerLevelByGroup 0 62
AddPlayer 1759128239 56 31
AddPlayer 1491202799 69 2
AddPlayer 1125377723 21 81
AddPlayer 1152604558 45 15
AddPlayer 1302218430 9 46
AddPlayer 1674224231 61 40
AddPlayer 1630414453 26 67
ChangePlayerIDScore 1031976410 26
AverageHighestPlayerLevelByGroup 56 4
AddPlayer 689821398 12 49
AddPlayer 570056468 31 94
AddPlayer 313547831 75 20
GetPercentOfPlayersWithScoreInBounds 86 90 0 0
AddPlayer 527621607 61 42
AddPlayer 152351208 11 3
AddPlayer 938966211 55 31
AddPlayer 2102377784 51 53
AddPlayer 1276263369 52 96
RemovePlayer 1455633119
AddPlayer 14821961 45 98
AddPlayer 1927989101 38 50
ChangePlayerIDScore 938966211 86
AddPlayer 4372048 20 22
ChangePlayerIDScore -2 41
AddPlayer 475572740 16 88
AddPlayer -2 16 26
AddPlayer 2107869678 88 5
AverageHighestPlayerLevelByGroup 0 149
AddPlayer 1707389526 8 11
AddPlayer 823555303 82 58
AddPlayer 1449350942 52 63
MergeGroups 83 264187638
AverageHighestPlayerLevelByGroup 0 89
AddPlayer 452549223 22 5
AddPlayer 2116786595 76 80
ChangePlayerIDScore 1018087480 5
AddPlayer 1869207758 61 91
AddPlayer 1877116706 78 51
AddPlayer 836437703 58 14
AddPlayer -6 77 98
AddPlayer 567815373 20 32
AddPlayer 2010450881 51 63
AddPlayer 1555184487 83 -6
AddPlayer 1887886326 75 35
AddPlayer 1161556794 63 98
AverageHighestPlayerLevelByGroup 0 44
AverageHighestPlayerLevelByGroup 5 4
AddPlayer 1979771690 48 69
AddPlayer 1838239331 84 59
RemovePlayer 435666934
AddPlayer 1815978868 20 59
RemovePlayer 1582741259
MergeGroups 10 43
RemovePlayer 940272199
ChangePlayerIDScore 1208610469 37
GetPercentOfPlayersWithScoreInBounds 0 2 0 0
AddPlayer 1674893465 62 -10
IncreasePlayerIDLevel 1513757118 1
AddPlayer 1258579269 70 8
AddPlayer 583700683 86 15
AddPlayer 1490602140 41 1258505584
AddPlayer 273048889 20 23
AddPlayer 2058494913 48 76
AddPlayer 2121734185 58 96
RemovePlayer 169136181
AddPlayer 1305076147 61 66
AddPlayer 1125482264 25 18
AddPlayer 526799261 5 21
AddPlayer 335450273 85 94
IncreasePlayerIDLevel 59524178 4
AddPlayer 1882753230 39 1
GetPercentOfPlayersWithScoreInBounds 65 26 0 0
AverageHighestPlayerLevelByGroup 0 330
GetPercentOfPlayersWithScoreInBounds 57 47 0 0
AddPlayer 1684427852 14 82
AddPlayer 42953602 2 59
AddPlayer 1148878971 71 57
IncreasePlayerIDLevel 933491865 4
IncreasePlayerIDLevel 67339422 -3
AddPlayer 1506837791 29 1625175005
IncreasePlayerIDLevel 1073930615 6
AddPlayer 2074770461 58 3
ChangePlayerIDScore 907147899 54
AddPlayer 1567219558 -6 66
AddPlayer 1145035998 1433502704 39
AddPlayer 913354220 77 43
AddPlayer 1076800694 1162955656 72
RemovePlayer 1806325920
AddPlayer 977361715 77 -3
AddPlayer 1392181286 49 79
MergeGroups 13 38
AddPlayer 432540699 47 34
AddPlayer 1124650310 84 79
AddPlayer 1447163667 66 11
ChangePlayerIDScore 365877525 66
RemovePlayer 554093480
AddPlayer 1275424842 82 95
AddPlayer 1608468229 68 33
AddPlayer 11382307 75 49
AddPlayer 266862789 26 6
AddPlayer 672178543 59 -3
AddPlayer 964395931 4 65
AddPlayer 1895853942 73 70
AddPlayer 1019114618 29 20
AddPlayer 941466514 52 92
AddPlayer 978229636 86 15
AddPlayer 331885619 50 853824019
AddPlayer 1812275851 30 53
AddPlayer 508623227 52 178446200
IncreasePlayerIDLevel 1799611747 -1
AddPlayer 1314444469 13 66
AddPlayer 1240562713 45 2
AddPlayer 2084704511 51 43
AddPlayer 484198196 24 58
AddPlayer 1125482264 7 48
AddPlayer 1710234876 9 7
GetPercentOfPlayersWithScoreInBounds 30 95 0 0
AddPlayer 553771312 70 29
AddPlayer 1775005980 36 35
AverageHighestPlayerLevelByGroup 33 3
AddPlayer 1218989998 74 64
