Init 41 112
AddPlayer 1958136777 13 112
AddPlayer 2087402485 30 100
AddPlayer 2087402485 9 54
AddPlayer 549915299 27 30
AddPlayer 1496195061 37 37
AddPlayer 1048452625 5 56
AddPlayer 1723407599 8 102
AddPlayer 903881574 26 105
AddPlayer 1088276189 9 59
AddPlayer 739733928 20 10
MergeGroups 13 24
AddPlayer 1373663491 21 49
AddPlayer 575734766 5 -8
AddPlayer 2122947323 6 24
AddPlayer 1314842314 40 78
AddPlayer 694489052 8 48
AddPlayer 1565570582 41 48
AddPlayer 694489052 18 23
AddPlayer 502132477 15 106
AddPlayer 1894527043 -1 111
AddPlayer 862608864 27 79
AddPlayer 678961458 31 93
AddPlayer 639582939 15 46
AddPlayer 2119498910 34 62
AddPlayer 1182032808 39 76
AddPlayer 1395011242 8 32
AddPlayer 1534586305 17 8
AddPlayer 1563261881 16 98
AddPlayer 2108748661 6 90
AddPlayer 302214533 16 85
AddPlayer 438854585 21 90
AddPlayer 1142620573 24 73
ChangePlayerIDScore 302214533 46
MergeGroups 39 41
AddPlayer 1541943831 18 92
AddPlayer 629321119 23 82
AddPlayer 808947427 18 57
AddPlayer 1908419155 40 17
AddPlayer 1693631098 9 97
AddPlayer 168082528 34 79
AddPlayer 1215242992 25 75
AddPlayer 2019509119 8 18
AddPlayer 359702504 40 34
AddPlayer 1512592988 35 52
AddPlayer 1451709162 28 16
AddPlayer 363254724 6 1867281309
AddPlayer 1237455500 36 76
AddPlayer 1467154200 14 9
AddPlayer 1088276189 16 56
AddPlayer 1556028537 25 31
AddPlayer 1088780451 3 69
AddPlayer 1416278387 10 4
AddPlayer 143513374 15 66
AddPlayer 1175940101 4 17
AddPlayer 1668150195 5 63
AddPlayer 1909271337 16 74
AddPlayer -2 5 38
AddPlayer 1249639530 -1 49
AddPlayer 14374554 27 37
AddPlayer 1455452961 22 50
AddPlayer 739009853 26 40
AddPlayer 1033963251 10 102
AddPlayer 182075975 16 112
AddPlayer 1809139745 18 94
AddPlayer 1085877868 32 35
AddPlayer 808947427 18 31
AddPlayer 1035828028 14 -3
AddPlayer 929447757 14 46
AddPlayer 450292842 38 55
AddPlayer 1681554319 37 69
GetPercentOfPlayersWithScoreInBounds 40 34 0 0
AddPlayer 2070293455 6 22
AddPlayer 1205588719 1 96
AddPlayer 997262277 32 29
AddPlayer 1064249747 22 65
AddPlayer 1761431064 30 94
AddPlayer 1336931149 17 77
AddPlayer 1872325920 1 1058397809
AddPlayer 10638819 180869834 83
AddPlayer 502132477 26 48
AddPlayer 1960400294 36 55
AddPlayer 1298977193 36 65
AddPlayer 1350105472 -10 49
AverageHighestPlayerLevelByGroup 0 18
AddPlayer 676258989 9 86
AddPlayer 2082123652 9 79
AddPlayer 873669130 15 1
AddPlayer 629321119 30 90
AddPlayer 49498767 24 46
AddPlayer 1093327413 19 13
AddPlayer 1534586305 26 33
AddPlayer 1547325689 15 18
AddPlayer 1143811608 13 46
AddPlayer 1088780451 39 60
AddPlayer 1716159640 1 107
AddPlayer 1733412908 11 55
AddPlayer 1547325689 32 92
AddPlayer 1491387983 2 4
AddPlayer 1951783343 33 1960606459
AddPlayer 1254437968 17 27
AddPlayer 411596187 2 55
IncreasePlayerIDLevel 1085877868 5
AddPlayer 840781558 1 23
AddPlayer 1765964746 11 22
AddPlayer 1561670740 9 34
AddPlayer -1 7 4
AddPlayer 1327765802 7 75
AddPlayer 1644086583 17 91
AddPlayer 644349607 18 57
AddPlayer 210570044 22 32
AddPlayer 694489052 7 60
AddPlayer -6 26 42
AddPlayer 140950662 17 48
