Init 67 168
AddPlayer 1181587317 57 28
AddPlayer 1489555707 20 75
AddPlayer 1489555707 48 80
AddPlayer 847675209 31 687404012
AddPlayer 1489555707 65 76
AddPlayer 61629188 64 121
AddPlayer 1041318764 32 92
AddPlayer 107441697 60 163
AddPlayer 772048994 39 126
AddPlayer 1578602728 9 62
AddPlayer 1892488231 5 69
AddPlayer 1340675230 19 114
AddPlayer 1551850612 54 95
AddPlayer 1662298011 12 7
AddPlayer 1292566452 44 99
AddPlayer 1551850612 59 140
AddPlayer 2043393722 57 27
AddPlayer 636162332 30 3
AddPlayer 1735348852 38 114
AddPlayer 1551850612 16 152
AddPlayer 471610988 54 70
AddPlayer 172678434 15 110
AddPlayer 2033523718 13 26
AddPlayer 1201297499 10 73
AddPlayer 1820869791 39 74
AddPlayer 239822713 30 107
AddPlayer 104737548 35 87
AddPlayer 1193474398 35 46
AddPlayer 1859628168 59 81
IncreasePlayerIDLevel 2077529525 9
AddPlayer 677608678 8 82
AddPlayer 1303960305 62 56
AddPlayer 1054311164 9 11
AddPlayer 107441697 3 123
AddPlayer 1197131270 11 133
AddPlayer 500573734 36 67
AddPlayer 34194080 16 112
AddPlayer 1514734350 24 79
AddPlayer 1146214346 23 70
AddPlayer 1197131270 40 50
AddPlayer 1169029971 66 120
AddPlayer 281714922 11 90
AddPlayer 1250377652 11 108
AddPlayer 594831201 21 69
AddPlayer 802934737 48 45
AddPlayer 226701092 55 87
AddPlayer 411017582 42 58
AddPlayer 1831574952 49 61
AddPlayer 2099288152 62 28
AddPlayer 2099288152 67 58
AddPlayer 233788677 33 160
AddPlayer 286712541 44 98
AddPlayer 1853308850 1237500082 57
AddPlayer 1837060830 36 31
AddPlayer 34194080 46 52
AddPlayer -2 51 112
AddPlayer 1391592884 13 118
AddPlayer 121379627 3 113
AddPlayer 599090639 46 992053740
AddPlayer 1622410834 21 157
AddPlayer 1753045311 22 117
AddPlayer 981366682 7 40
AddPlayer 1363912648 35 161
AddPlayer 1299849579 32 91
AddPlayer 1593345433 62 122
AddPlayer 1938566515 67 100
AddPlayer 981366682 27 15
AddPlayer 1169029971 52 166
AddPlayer 1961305575 18 60
AddPlayer 1990970691 22 11
AddPlayer 819501304 34 110
AddPlayer 1594725173 64 24
AddPlayer 458045308 59 152
AddPlayer 587383087 5 39
AddPlayer 1809543533 27 152
AddPlayer 859100193 66 6
AddPlayer 90680794 25 63
AddPlayer 482231132 42 1387899869
AddPlayer 1532875121 55 2
AddPlayer 990636117 49 45
AddPlayer 1292962661 49 65
AddPlayer 1693161543 59 152
AddPlayer 725425047 49 157
AddPlayer 456413908 50 120
AddPlayer 349719743 26 23
AddPlayer 617617074 23 68
AddPlayer 96671987 5 23
AddPlayer 571685867 14 0
AddPlayer 498607267 61 141
ChangePlayerIDScore 1753045311 10
AddPlayer 1384531360 63 106
AddPlayer 1253697186 5 15
AddPlayer 628009418 11 7
GetPercentOfPlayersWithScoreInBounds 0 2 0 0
AddPlayer 1409284439 48 -10
AddPlayer 1750781770 20 19
AddPlayer 1990532247 37 36
AddPlayer 948829367 42 90
AddPlayer 189292485 7 98
AddPlayer 628009418 35 85
AddPlayer 70771048 27 134
AddPlayer 1394458755 32 91
AddPlayer 1285359403 9 74
AddPlayer 1886005191 38 83
AddPlayer 2055956735 47 114
AddPlayer 2054602072 50 102
AddPlayer 770167506 35 36
AddPlayer 2076196331 65 112
AddPlayer 103804386 35 100
AddPlayer 1541025527 16 17
AddPlayer 482207 16 166
AddPlayer 2065938079 62 4
AddPlayer 1380570821 43 161
AddPlayer 628009418 44 64
AddPlayer 1023775585 45 28
AddPlayer 163269739 62 46
AddPlayer 1748354219 35 120
AddPlayer 1791077850 9 30
GetPercentOfPlayersWithScoreInBounds 0 81 0 0
AddPlayer 1622099739 7 81
AddPlayer -6 18 73
AddPlayer 997374695 39 12
AddPlayer 1843543682 37 65
AddPlayer 1293108428 20 10
AddPlayer 1578602728 8 161
AddPlayer 0 44 95
AddPlayer 1123630662 13 105
AddPlayer 2034991490 44 122
AddPlayer 2034009912 23 119
AddPlayer 734494054 9 116
AddPlayer 1753045311 63 96
AddPlayer 2131019846 62 105
AddPlayer 111271905 62 164
AddPlayer 1121288432 58 156
AddPlayer 529311880 4 19
AddPlayer 1513614002 27 90
AddPlayer 523227812 1 83
AddPlayer 141103728 40 165
AddPlayer 643583280 5 40
AddPlayer 686554220 56 163
AddPlayer 407522451 62 17
AddPlayer 1712641604 51 128
AddPlayer 521078506 62 150
AddPlayer 354670717 23 83
AddPlayer 204758974 27 -8
AddPlayer 349713413 11 137
AddPlayer 1257779098 14 55
AddPlayer 119565310 51 17
AddPlayer 997689242 49 62
AddPlayer 1489783233 28 47
AddPlayer 536748525 65 4
AddPlayer 1050224687 44 93
AddPlayer 1143589417 14 114
AddPlayer 1602733052 54 78
AddPlayer 1541025527 7 116
IncreasePlayerIDLevel 2076196331 6
AddPlayer 225751700 48 125
AddPlayer 1922993097 65 43
AddPlayer 818441869 44 82
AddPlayer -10 51 53
AddPlayer 984649242 44 57
AverageHighestPlayerLevelByGroup 0 69
AverageHighestPlayerLevelByGroup 16 3
AddPlayer 44546730 12 99
MergeGroups 10 5
AddPlayer 1226686644 4 53
GetPercentOfPlayersWithScoreInBounds 35 36 0 0
AddPlayer 600706633 42 94
AddPlayer 1010379544 -4 107
AddPlayer 1250377652 2 120
AddPlayer 1509852458 28 67
IncreasePlayerIDLevel 1886005191 5
AddPlayer 599491811 28 4
AddPlayer 2134868188 41 17
AddPlayer 1827599681 39 45
AddPlayer 1532332320 34 124
AddPlayer -2 26 99
AddPlayer 1854034097 42 12
ChangePlayerIDScore 2055956735 146
AddPlayer 233612782 6 58
AddPlayer 817263670 54 107
AddPlayer 350918369 17 129
AddPlayer 302839059 8 113
GetPercentOfPlayersWithScoreInBounds 28 47 0 0
AddPlayer 781132838 -3 112
GetPercentOfPlayersWithScoreInBounds 0 43 0 0
AddPlayer -9 43 24
AddPlayer 1589400967 12 6
AddPlayer 304929005 48 105
AddPlayer 229413364 55 10
AddPlayer 2001470090 66 -6
AddPlayer 1575598003 4 77
AddPlayer 421108861 58 47
AddPlayer 1892372438 23 157
AddPlayer 1045513344 23 150
ChangePlayerIDScore 1123630662 45
AddPlayer 1575960519 2 88
AddPlayer 2132798570 42 155
AddPlayer 2069019759 49 21
IncreasePlayerIDLevel 349713413 3
AddPlayer 387962616 50 87
AddPlayer 285457144 66 20
AddPlayer 1125638025 50 16
IncreasePlayerIDLevel 1197131270 6
AddPlayer 404525174 24 41
AddPlayer 48436771 17 145
AddPlayer 62916640 21 25
AddPlayer 2127495150 60 34
AddPlayer 1919641390 57 76
AddPlayer 1178346942 23 70
AddPlayer -4 27 17
AddPlayer 1251069404 33 68
AddPlayer 1644964642 35 17
AddPlayer 310911118 39 135
AddPlayer 1972723153 48 23
RemovePlayer -2
AddPlayer 2033947458 23 30
AddPlayer 519780161 28 129
AddPlayer 502137146 24 66
AddPlayer 769959165 31 98
ChangePlayerIDScore -1 88
AddPlayer 1454181422 31 163
RemovePlayer 617617074
MergeGroups 6 27
AddPlayer 370566447 19 81
AddPlayer 1720437839 48 93
ChangePlayerIDScore 1340675230 81
AddPlayer 301105339 28 106
AddPlayer 1569925838 52 87
AddPlayer 385601964 28 49
AddPlayer 641359097 39 71
