Init 17 98
AddPlayer 65601180 10 8
AddPlayer 1076252739 8 30
AddPlayer 1333643895 252408702 80
AddPlayer 1143736635 1 40
AddPlayer 647261420 15 15
AddPlayer 1297315036 9 17
AddPlayer 677212915 17 37
AddPlayer 2097739248 15 -5
AddPlayer 524343335 17 96
AddPlayer 462089672 17 34
AddPlayer 883727319 13 8
AddPlayer 1163875997 6 -6
AddPlayer 1900781551 7 75
AddPlayer 750691430 16 48
AddPlayer -2 4 46
AddPlayer 1900781551 15 1
AddPlayer 345578491 8 38
AddPlayer 2134300890 5 77
AddPlayer 887431658 4 82
AddPlayer 524343335 6 19
AddPlayer 595877554 8 1
AddPlayer 1351133930 5 44
AddPlayer 1640383830 1 19
AddPlayer 611467862 9 80
AddPlayer 275381811 15 52
AddPlayer -2 5 79
AddPlayer 1791886214 2 43
AddPlayer 772364985 16 29
AddPlayer 1072850650 5 8
AddPlayer 1990562870 17 36
AddPlayer 718190736 17 24
AddPlayer 1162780361 8 86
AddPlayer 1721240117 2 48
AddPlayer 1803137181 9 23
AddPlayer 2065116975 16 9
AddPlayer 472242060 8 7
AddPlayer 186905492 3 59
AddPlayer 563706074 6 22
MergeGroups 17 16
AddPlayer 998336077 10 91
AddPlayer 1014303226 17 38
AddPlayer 482938264 3 5
AddPlayer 1667498552 112672018 59
AddPlayer 1915969939 5 96
AddPlayer 1513140642 7 97
AddPlayer 1800537749 8 36
AddPlayer 348238645 13 11
AddPlayer 611467862 5 78
AddPlayer 1990562870 2 18
AddPlayer 669461742 6 79
AddPlayer 438391018 6 40
AddPlayer 643091068 10 24
AddPlayer 1833165604 15 54
AddPlayer 2008266784 16 73
AddPlayer 1739604263 3 11
AddPlayer 580687186 14 83
AddPlayer 56112099 5 37
AddPlayer 1604736390 17 20
AddPlayer 1918306057 2 1665096014
AddPlayer 579121233 3 70
AddPlayer -1 16 84
AddPlayer 1616067506 5 83
AddPlayer 749598090 14 39
AddPlayer 2098182417 10 9
AddPlayer 780785425 12 27
AddPlayer 106574863 9 9
AddPlayer 1513140642 11 80
AddPlayer 224639552 2 7
AddPlayer 351661864 2 67
AddPlayer 1460900445 17 93
AddPlayer 1265449923 13 18
AddPlayer 1034333898 2 46
AddPlayer 1688786483 14 45
AddPlayer 524891297 7 9
IncreasePlayerIDLevel 56112099 8
AddPlayer 191671048 17 98
AddPlayer 143615780 15 51
AddPlayer 2098182417 15 86
AddPlayer 396787966 7 74
AddPlayer 1768483869 14 93
AddPlayer 1704865730 9 33
AddPlayer 730912472 14 44
AddPlayer 669461742 12 33
AddPlayer 404344068 5 90
AddPlayer 1034333898 17 33
AddPlayer 187217937 16 66
AddPlayer 768925966 16 35
AddPlayer 628091292 12 52
AddPlayer 1627608587 4 51
ChangePlayerIDScore 106574863 26
IncreasePlayerIDLevel 404344068 8
AddPlayer 1774733393 5 62
AddPlayer 813728982 11 73
AddPlayer 1767914503 15 86
AddPlayer 579121233 10 50
AddPlayer 346932206 16 -8
AddPlayer 931324417 7 37
AddPlayer 56112099 10 56
AddPlayer 2050994764 1 65
AverageHighestPlayerLevelByGroup 0 4167
AddPlayer 348920050 1 90
AddPlayer 1306868598 6 14
ChangePlayerIDScore 524343335 2
AddPlayer 462089672 13 88
AddPlayer 1232669591 9 95
GetPercentOfPlayersWithScoreInBounds 0 48 0 0
AddPlayer 662824626 17 42
AddPlayer 661223010 17 54
AddPlayer 1768483869 8 89
ChangePlayerIDScore 482938264 23
AddPlayer 1705122924 7 38
AddPlayer 319609039 1378757934 18
MergeGroups 11 7
AddPlayer 188972972 17 70
MergeGroups 15 2
AddPlayer 84542140 9 35
AddPlayer -10 5 85
AddPlayer 878970778 16 22
AddPlayer 878970778 13 91
AddPlayer 887431658 9 5
AddPlayer 383736497 10 47
AddPlayer -5 8 50
