Init 17 197
AddPlayer 1938119165 1 106
AddPlayer -7 10 90
AddPlayer 375650918 4 64
AddPlayer 1560614199 3 185
AddPlayer 1574815212 6 195
AddPlayer 277329796 9 137
AddPlayer 1914390998 12 92
AddPlayer -4 13 191
AddPlayer 1107102148 10 70
AddPlayer 592937746 1 14
AddPlayer 2139251684 2 87
AddPlayer 158032224 11 195
AddPlayer 390203194 9 938649395
AddPlayer 1546456797 5 163
AddPlayer 1597808112 8 118
AddPlayer 467057581 5 156
AddPlayer 1938119165 11 128
AddPlayer 1597808112 17 57
IncreasePlayerIDLevel 1914390998 7
AddPlayer 723811387 11 160
AddPlayer 1184580485 15 193
AddPlayer 491183515 12 45
AddPlayer 1426248553 1557896129 110
AddPlayer 262822691 3 39
AddPlayer 766341524 7 78
AddPlayer 1624077346 13 4
AddPlayer 1842167573 15 45
AddPlayer 1054353395 4 1270281723
AddPlayer 644074625 9 161
AddPlayer 546564703 10 1370237904
AddPlayer 890333268 8 54
AddPlayer 582757746 8 76
AddPlayer 1637274108 14 37
AddPlayer 277329796 17 13
AddPlayer 1842167573 3 102
AddPlayer 1914390998 8 121
AddPlayer 981994151 4 23
AddPlayer 1463767362 5 196
AddPlayer 1393586440 7 178
AddPlayer 1670971465 9 107
IncreasePlayerIDLevel 1425035315 5
AddPlayer 1750486336 8 194
AddPlayer 1233227254 4 21
AddPlayer 1663420328 10 20
AddPlayer 1316420553 6 104
AddPlayer 1637274108 15 50
AddPlayer 1353813325 10 114
AverageHighestPlayerLevelByGroup 6 2
AddPlayer 816780992 4 147
IncreasePlayerIDLevel 277329796 2
AddPlayer -10 4 76
AddPlayer 533602940 3 31
AddPlayer 1644326931 15 166
AddPlayer 1139907666 12 16
AddPlayer 430421278 2 140
AddPlayer 860046150 6 -3
AddPlayer 2031578750 4 21
AddPlayer 1969369434 14 144
AddPlayer 538182886 1 164
AddPlayer 116946301 13 86
AddPlayer 2076970378 2 105
AddPlayer 715818386 4 11
AddPlayer 296136995 8 59
AddPlayer 396970396 11 37
AddPlayer 1548804736 360381178 190
AddPlayer 294784411 9 119
AddPlayer 1454081111 7 135
AddPlayer 1656565478 3 162
AddPlayer 1777501285 13 141
AddPlayer 563497276 8 126
AddPlayer 1420425208 7 163
AddPlayer 517659986 15 107
AddPlayer 761306533 17 64
AddPlayer 1127876542 11 3
AddPlayer 1510491251 9 52
AddPlayer 520287660 12 116
AddPlayer 0 4 129
AddPlayer -3 13 41
AddPlayer 1615675385 13 61
