Init 14 32
AddPlayer 835306665 1 12
AddPlayer 859420715 14 11
AddPlayer 835306665 7 25
AddPlayer 1413766260 6 21
AddPlayer 672381335 12 3
AddPlayer 766520794 5 2
AddPlayer 1600982190 5 7
AddPlayer 1067991446 2097212523 3
AddPlayer 1846614177 12 8
AddPlayer 160737993 8 9
AddPlayer 1928848940 5 29
AddPlayer 1755288482 1 16
AddPlayer 1661852287 2 22
AddPlayer 1633657212 14 17
AddPlayer 1195978556 9 17
AddPlayer 11045585 5 27
AddPlayer 1753525100 10 4
AddPlayer 264533419 8 1926017285
AddPlayer 859420715 11 20
AddPlayer 641896714 10 16
AddPlayer 1991779874 6 32
AddPlayer 276147757 7 14
AddPlayer 257716948 1 13
AddPlayer -3 5 19
AddPlayer 146325913 7 4
AddPlayer 1180085037 11 19
AddPlayer 1408581799 3 16
AddPlayer 350763745 14 10
AddPlayer 1719337434 14 10
AddPlayer 1321990257 5 9
AddPlayer 1753525100 2 19
AddPlayer 106312274 11 2005512525
AddPlayer 1994019632 13 12
AddPlayer 334982521 1 10
AddPlayer 1656239118 -5 20
AddPlayer 276418490 6 3
AddPlayer 184589905 6 31
AddPlayer 418797208 5 11
AddPlayer 1081103467 14 31
AddPlayer 276418490 14 25
AddPlayer 560176572 11 3
AddPlayer 334982521 2 1
AddPlayer 350763745 12 24
AddPlayer 1413766260 14 22
AddPlayer 2087402245 11 11
AddPlayer 446890838 4 16
AddPlayer 1291147385 -2 1
AddPlayer 418136860 9 24
AddPlayer 643269502 10 22
AddPlayer 635572524 3 1
AddPlayer 214734348 5 15
AverageHighestPlayerLevelByGroup 3 -6
AddPlayer 727783150 7 15
AddPlayer 169021159 14 20
AddPlayer 258426409 12 17
AddPlayer 799283685 4 23
AddPlayer 1090141603 14 21
AddPlayer 1590127179 4 16
AddPlayer -9 12 26
AddPlayer 281751491 2 31
AddPlayer 1122692476 2 15
AddPlayer 1408581799 4 19
AddPlayer 2128852380 9 30
AddPlayer 548472532 6 10
AddPlayer 928109803 7 12
AddPlayer 169247744 3 14
